item_id,emotion,cause,arousal,valence,content_text,neutral_text,generation_prompt,neutral_generation_prompt,confound,note
sadness_05,sadness,loneliness,low,negative,"At the end of the party, the silent room made Elena feel painfully alone.","At the end of the party, Elena turned off the lights in the silent room.",Write one sad sentence about a silent room after a party.,Write one emotionally neutral sentence about a silent room after a party.,,social contrast
sadness_06,sadness,illness,medium,negative,"The postponed visit left Mateo disappointed, and his voice sounded small on the phone.","The visit was postponed, and Mateo confirmed the new date by phone.",Write one sad sentence about a postponed visit confirmed by phone.,Write one emotionally neutral sentence about a postponed visit confirmed by phone.,,disappointment rather than acute fear
anger_01,anger,injustice,high,negative,"When the rule punished the careful workers, Tessa felt anger flare at the unfairness.","When the rule affected the careful workers, Tessa reviewed the policy details.",Write one angry sentence about an unfair rule at work.,Write one emotionally neutral sentence about an unfair rule at work.,,injustice; matched policy topic
anger_02,anger,delay,medium,negative,The third unexplained delay made Omar clench his jaw in frustration.,The third delay changed Omar's expected arrival time.,Write one angry sentence about a third unexplained delay.,Write one emotionally neutral sentence about a third unexplained delay.,,frustration; logistical cause
anger_03,anger,betrayal,high,negative,"Seeing the copied proposal, June felt furious that her partner had taken the credit.","Seeing the copied proposal, June documented that her partner had submitted it.",Write one angry sentence about a copied proposal and lost credit.,Write one emotionally neutral sentence about a copied proposal and lost credit.,,credit conflict; no threat content
anger_04,anger,rude_service,medium,negative,"The clerk's sneer made Asha bristle, and her patience turned into irritation.",The clerk's expression changed while Asha waited at the counter.,Write one angry sentence about rude service at a counter.,Write one emotionally neutral sentence about service at a counter.,,interpersonal cue; same location
anger_05,anger,broken_promise,medium,negative,The broken promise left Ravi bitter because everyone else had planned around it.,The changed promise affected the schedule that everyone else had planned around.,Write one angry sentence about a broken promise that disrupted a schedule.,Write one emotionally neutral sentence about a changed promise that affected a schedule.,,same planning facts
anger_06,anger,policy,high,negative,"The sudden fee felt insulting, and Dana's calm note turned sharp with anger.","The sudden fee appeared on the invoice, and Dana revised the note.",Write one angry sentence about a sudden fee on an invoice.,Write one emotionally neutral sentence about a sudden fee on an invoice.,,bureaucratic cause
fear_01,fear,storm,high,negative,"Thunder shook the windows, and Kira felt a cold thread of fear in the dark hallway.",Thunder shook the windows while Kira walked through the dark hallway.,Write one fearful sentence about thunder in a dark hallway.,Write one emotionally neutral sentence about thunder in a dark hallway.,,storm cause; matched hallway
fear_02,fear,diagnosis,medium,negative,"Waiting for the test result, Jonah felt anxious about what the doctor might say.","Waiting for the test result, Jonah checked when the doctor would call.",Write one fearful sentence about waiting for a medical test result.,Write one emotionally neutral sentence about waiting for a medical test result.,,medical uncertainty; no advice
fear_03,fear,dark_house,high,negative,"A floorboard creaked upstairs, and Mara froze with panic in the dark house.",A floorboard creaked upstairs while Mara stood in the dark house.,Write one fearful sentence about a creak upstairs in a dark house.,Write one emotionally neutral sentence about a creak upstairs in a dark house.,,fictional suspense cue
fear_04,fear,lost_child,high,negative,"For one awful minute, Imani could not see the child in the crowd and felt terror rise.","For one minute, Imani searched for the child in the crowd.",Write one fearful sentence about briefly losing sight of a child in a crowd.,Write one emotionally neutral sentence about searching for a child in a crowd.,,short-lived fear; same crowd topic
fear_05,fear,emergency,high,negative,"The alarm blinked red, and Jules felt dread before the technician explained the signal.",The alarm blinked red before the technician explained the signal.,Write one fearful sentence about a red alarm before an explanation.,Write one emotionally neutral sentence about a red alarm before an explanation.,,ambiguous alarm; resolved later
fear_06,fear,uncertainty,medium,negative,"The unfamiliar road had no signs, and Theo felt nervous as the fuel gauge dropped.","The unfamiliar road had no signs, and Theo watched the fuel gauge drop.",Write one fearful sentence about an unfamiliar road and a falling fuel gauge.,Write one emotionally neutral sentence about an unfamiliar road and a falling fuel gauge.,,travel uncertainty
surprise_01,surprise,schedule_change,medium,neutral,"Unexpectedly, the meeting moved from room 204 to room 205.",The meeting moved from room 204 to room 205.,Write one surprised but emotionally neutral sentence about a meeting room changing.,Write one emotionally neutral sentence about a meeting room changing.,surprising_neutral,surprise word without target emotion
surprise_02,surprise,inventory,medium,neutral,"To everyone's surprise, the shipment contained twelve boxes instead of eleven.",The shipment contained twelve boxes instead of eleven.,Write one surprised but emotionally neutral sentence about an inventory count.,Write one emotionally neutral sentence about an inventory count.,surprising_neutral,counting topic
calm_positive_01,calm_positive,orderly_room,low,positive,The quiet room felt pleasantly orderly after the shelves were labeled.,The room was orderly after the shelves were labeled.,Write one calm positive sentence about labeled shelves in a quiet room.,Write one emotionally neutral sentence about labeled shelves in a quiet room.,positive_calm,"positive valence, low arousal"
calm_positive_02,calm_positive,tea,low,positive,"The mild tea tasted pleasant, and the afternoon stayed peaceful.",The mild tea was served during the afternoon.,Write one calm positive sentence about mild tea in the afternoon.,Write one emotionally neutral sentence about mild tea in the afternoon.,positive_calm,positive but not joyful/high arousal
arousal_neutral_01,arousal_neutral,timer,high,neutral,The timer beeped rapidly while the drill team followed the checklist.,The timer beeped while the drill team followed the checklist.,Write one high-arousal but emotionally neutral sentence about a timer and checklist.,Write one emotionally neutral sentence about a timer and checklist.,arousal_neutral,activation words without target affect
arousal_neutral_02,arousal_neutral,auction,high,neutral,Numbers flashed quickly on the board as the auctioneer completed the sale.,Numbers appeared on the board as the auctioneer completed the sale.,Write one high-arousal but emotionally neutral sentence about an auction board.,Write one emotionally neutral sentence about an auction board.,arousal_neutral,fast tempo but no target emotion
