item_id,domain,split,high_level_task,template_family,prompt,target,distractor,source_token,source_position,target_position,relation_family,subject,answer,high_level_variables_json
ind_black_green,induction,eval,copy_after_query,repeat_triplet,"green blue black green blue black green blue"," black"," white",black,5,7,,blue,black,"{""COPY_SOURCE"":""black"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""green_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_black_yellow,induction,eval,copy_after_query,repeat_triplet,"yellow blue black yellow blue black yellow blue"," black"," white",black,5,7,,blue,black,"{""COPY_SOURCE"":""black"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""yellow_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
rel_capital_france,relation,train,relation_answer,country_sem,The capital of France is," Paris"," French",capital,1,4,capital_of,France,Paris,"{""RELATION"":""capital_of"",""SUBJECT"":""France"",""ANSWER_CLASS"":""city"",""SWAP_GROUP"":""country_sem""}"
rel_language_france,relation,train,relation_answer,country_sem,The language of France is," French"," Paris",language,1,4,language_of,France,French,"{""RELATION"":""language_of"",""SUBJECT"":""France"",""ANSWER_CLASS"":""language"",""SWAP_GROUP"":""country_sem""}"
rel_continent_france,relation,train,relation_answer,country_sem,The continent of France is," Europe"," Paris",continent,1,4,continent_of,France,Europe,"{""RELATION"":""continent_of"",""SUBJECT"":""France"",""ANSWER_CLASS"":""continent"",""SWAP_GROUP"":""country_sem""}"
rel_capital_germany,relation,eval,relation_answer,country_sem,The capital of Germany is," Berlin"," German",capital,1,4,capital_of,Germany,Berlin,"{""RELATION"":""capital_of"",""SUBJECT"":""Germany"",""ANSWER_CLASS"":""city"",""SWAP_GROUP"":""country_sem""}"
rel_language_germany,relation,eval,relation_answer,country_sem,The language of Germany is," German"," Berlin",language,1,4,language_of,Germany,German,"{""RELATION"":""language_of"",""SUBJECT"":""Germany"",""ANSWER_CLASS"":""language"",""SWAP_GROUP"":""country_sem""}"
rel_continent_germany,relation,eval,relation_answer,country_sem,The continent of Germany is," Europe"," Berlin",continent,1,4,continent_of,Germany,Europe,"{""RELATION"":""continent_of"",""SUBJECT"":""Germany"",""ANSWER_CLASS"":""continent"",""SWAP_GROUP"":""country_sem""}"
rel_capital_italy,relation,train,relation_answer,country_sem,The capital of Italy is," Rome"," Italian",capital,1,4,capital_of,Italy,Rome,"{""RELATION"":""capital_of"",""SUBJECT"":""Italy"",""ANSWER_CLASS"":""city"",""SWAP_GROUP"":""country_sem""}"
rel_language_italy,relation,train,relation_answer,country_sem,The language of Italy is," Italian"," Rome",language,1,4,language_of,Italy,Italian,"{""RELATION"":""language_of"",""SUBJECT"":""Italy"",""ANSWER_CLASS"":""language"",""SWAP_GROUP"":""country_sem""}"
rel_continent_italy,relation,train,relation_answer,country_sem,The continent of Italy is," Europe"," Rome",continent,1,4,continent_of,Italy,Europe,"{""RELATION"":""continent_of"",""SUBJECT"":""Italy"",""ANSWER_CLASS"":""continent"",""SWAP_GROUP"":""country_sem""}"
rel_capital_spain,relation,eval,relation_answer,country_sem,The capital of Spain is," Madrid"," Spanish",capital,1,4,capital_of,Spain,Madrid,"{""RELATION"":""capital_of"",""SUBJECT"":""Spain"",""ANSWER_CLASS"":""city"",""SWAP_GROUP"":""country_sem""}"
rel_language_spain,relation,eval,relation_answer,country_sem,The language of Spain is," Spanish"," Madrid",language,1,4,language_of,Spain,Spanish,"{""RELATION"":""language_of"",""SUBJECT"":""Spain"",""ANSWER_CLASS"":""language"",""SWAP_GROUP"":""country_sem""}"
rel_continent_spain,relation,eval,relation_answer,country_sem,The continent of Spain is," Europe"," Madrid",continent,1,4,continent_of,Spain,Europe,"{""RELATION"":""continent_of"",""SUBJECT"":""Spain"",""ANSWER_CLASS"":""continent"",""SWAP_GROUP"":""country_sem""}"
rel_capital_japan,relation,train,relation_answer,country_sem,The capital of Japan is," Tokyo"," Japanese",capital,1,4,capital_of,Japan,Tokyo,"{""RELATION"":""capital_of"",""SUBJECT"":""Japan"",""ANSWER_CLASS"":""city"",""SWAP_GROUP"":""country_sem""}"
rel_language_japan,relation,train,relation_answer,country_sem,The language of Japan is," Japanese"," Tokyo",language,1,4,language_of,Japan,Japanese,"{""RELATION"":""language_of"",""SUBJECT"":""Japan"",""ANSWER_CLASS"":""language"",""SWAP_GROUP"":""country_sem""}"
rel_continent_japan,relation,train,relation_answer,country_sem,The continent of Japan is," Asia"," Tokyo",continent,1,4,continent_of,Japan,Asia,"{""RELATION"":""continent_of"",""SUBJECT"":""Japan"",""ANSWER_CLASS"":""continent"",""SWAP_GROUP"":""country_sem""}"
rel_capital_china,relation,eval,relation_answer,country_sem,The capital of China is," Beijing"," Chinese",capital,1,4,capital_of,China,Beijing,"{""RELATION"":""capital_of"",""SUBJECT"":""China"",""ANSWER_CLASS"":""city"",""SWAP_GROUP"":""country_sem""}"
rel_language_china,relation,eval,relation_answer,country_sem,The language of China is," Chinese"," Beijing",language,1,4,language_of,China,Chinese,"{""RELATION"":""language_of"",""SUBJECT"":""China"",""ANSWER_CLASS"":""language"",""SWAP_GROUP"":""country_sem""}"
rel_continent_china,relation,eval,relation_answer,country_sem,The continent of China is," Asia"," Beijing",continent,1,4,continent_of,China,"Asia","{""RELATION"":""continent_of"",""SUBJECT"":""China"",""ANSWER_CLASS"":""continent"",""SWAP_GROUP"":""country_sem""}"
