row_id,family,domain,source_lab,text,group_id,split,labels_json
fl_finance_02,competitive_numbers,finance,lab19_model_diffing_crosscoders,The bank approved the loan after reviewing collateral and repayment history.,finance_sports_02,eval,"{""confusable_domain"": ""sports"", ""contrast_token"": "" game"", ""domain"": ""finance"", ""item_index"": 2, ""marker_token"": "" money"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_finance_03,competitive_numbers,finance,lab19_model_diffing_crosscoders,"The portfolio report listed cash, equities, credit risk, and currency exposure.",finance_sports_03,train,"{""confusable_domain"": ""sports"", ""contrast_token"": "" game"", ""domain"": ""finance"", ""item_index"": 3, ""marker_token"": "" money"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_finance_04,competitive_numbers,finance,lab19_model_diffing_crosscoders,The company missed earnings guidance despite a strong increase in subscription sales.,finance_sports_04,train,"{""confusable_domain"": ""sports"", ""contrast_token"": "" game"", ""domain"": ""finance"", ""item_index"": 4, ""marker_token"": "" money"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_finance_05,competitive_numbers,finance,lab19_model_diffing_crosscoders,The investor hedged the position because interest rates could rise again.,finance_sports_05,train,"{""confusable_domain"": ""sports"", ""contrast_token"": "" game"", ""domain"": ""finance"", ""item_index"": 5, ""marker_token"": "" money"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_finance_06,competitive_numbers,finance,lab19_model_diffing_crosscoders,"The budget spreadsheet tracked payroll, invoices, taxes, and retained cash.",finance_sports_06,eval,"{""confusable_domain"": ""sports"", ""contrast_token"": "" game"", ""domain"": ""finance"", ""item_index"": 6, ""marker_token"": "" money"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_finance_07,competitive_numbers,finance,lab19_model_diffing_crosscoders,The exchange rate moved sharply after the central bank statement.,finance_sports_07,train,"{""confusable_domain"": ""sports"", ""contrast_token"": "" game"", ""domain"": ""finance"", ""item_index"": 7, ""marker_token"": "" money"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_sports_00,competitive_numbers,sports,lab19_model_diffing_crosscoders,The coach reviewed the match film and adjusted the defensive formation.,finance_sports_00,train,"{""confusable_domain"": ""finance"", ""contrast_token"": "" money"", ""domain"": ""sports"", ""item_index"": 0, ""marker_token"": "" game"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_sports_01,competitive_numbers,sports,lab19_model_diffing_crosscoders,A striker scored late after the goalkeeper mishandled the bouncing ball.,finance_sports_01,train,"{""confusable_domain"": ""finance"", ""contrast_token"": "" money"", ""domain"": ""sports"", ""item_index"": 1, ""marker_token"": "" game"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_sports_02,competitive_numbers,sports,lab19_model_diffing_crosscoders,"The team practiced set pieces, passing lanes, and pressure near midfield.",finance_sports_02,eval,"{""confusable_domain"": ""finance"", ""contrast_token"": "" money"", ""domain"": ""sports"", ""item_index"": 2, ""marker_token"": "" game"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_sports_03,competitive_numbers,sports,lab19_model_diffing_crosscoders,The scoreboard changed after a fast break ended with a clean layup.,finance_sports_03,train,"{""confusable_domain"": ""finance"", ""contrast_token"": "" money"", ""domain"": ""sports"", ""item_index"": 3, ""marker_token"": "" game"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_sports_04,competitive_numbers,sports,lab19_model_diffing_crosscoders,The pitcher located the fastball well and forced three ground outs.,finance_sports_04,train,"{""confusable_domain"": ""finance"", ""contrast_token"": "" money"", ""domain"": ""sports"", ""item_index"": 4, ""marker_token"": "" game"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_sports_05,competitive_numbers,sports,lab19_model_diffing_crosscoders,The referee stopped play when the defender committed a tactical foul.,finance_sports_05,train,"{""confusable_domain"": ""finance"", ""contrast_token"": "" money"", ""domain"": ""sports"", ""item_index"": 5, ""marker_token"": "" game"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_sports_06,competitive_numbers,sports,lab19_model_diffing_crosscoders,The tournament bracket gave the club one day of rest before the final.,finance_sports_06,eval,"{""confusable_domain"": ""finance"", ""contrast_token"": "" money"", ""domain"": ""sports"", ""item_index"": 6, ""marker_token"": "" game"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_sports_07,competitive_numbers,sports,lab19_model_diffing_crosscoders,The fans cheered as the rookie crossed the finish line ahead of the field.,finance_sports_07,train,"{""confusable_domain"": ""finance"", ""contrast_token"": "" money"", ""domain"": ""sports"", ""item_index"": 7, ""marker_token"": "" game"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_law_00,professional_judgment,law,lab12_relation_geometry,The attorney cited the statute and argued that the contract clause was enforceable.,law_medicine_00,train,"{""confusable_domain"": ""medicine"", ""contrast_token"": "" health"", ""domain"": ""law"", ""item_index"": 0, ""marker_token"": "" law"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_law_01,professional_judgment,law,lab12_relation_geometry,A judge reviewed the precedent before issuing a narrow procedural ruling.,law_medicine_01,train,"{""confusable_domain"": ""medicine"", ""contrast_token"": "" health"", ""domain"": ""law"", ""item_index"": 1, ""marker_token"": "" law"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_law_02,professional_judgment,law,lab12_relation_geometry,"The court record included testimony, exhibits, objections, and a written motion.",law_medicine_02,eval,"{""confusable_domain"": ""medicine"", ""contrast_token"": "" health"", ""domain"": ""law"", ""item_index"": 2, ""marker_token"": "" law"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_law_03,professional_judgment,law,lab12_relation_geometry,The legal brief distinguished the prior case and challenged the agency order.,law_medicine_03,train,"{""confusable_domain"": ""medicine"", ""contrast_token"": "" health"", ""domain"": ""law"", ""item_index"": 3, ""marker_token"": "" law"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_law_04,professional_judgment,law,lab12_relation_geometry,"The jury instructions explained negligence, causation, damages, and burden of proof.",law_medicine_04,train,"{""confusable_domain"": ""medicine"", ""contrast_token"": "" health"", ""domain"": ""law"", ""item_index"": 4, ""marker_token"": "" law"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_law_05,professional_judgment,law,lab12_relation_geometry,The prosecutor disclosed the evidence before the hearing began.,law_medicine_05,train,"{""confusable_domain"": ""medicine"", ""contrast_token"": "" health"", ""domain"": ""law"", ""item_index"": 5, ""marker_token"": "" law"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_law_06,professional_judgment,law,lab12_relation_geometry,The settlement agreement resolved the dispute without admitting liability.,law_medicine_06,eval,"{""confusable_domain"": ""medicine"", ""contrast_token"": "" health"", ""domain"": ""law"", ""item_index"": 6, ""marker_token"": "" law"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_law_07,professional_judgment,law,lab12_relation_geometry,The appeal focused on jurisdiction and the interpretation of the regulation.,law_medicine_07,train,"{""confusable_domain"": ""medicine"", ""contrast_token"": "" health"", ""domain"": ""law"", ""item_index"": 7, ""marker_token"": "" law"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_medicine_00,professional_judgment,medicine,lab13_emotion_geometry,"The physician reviewed the symptoms, lab results, and medication history.",law_medicine_00,train,"{""confusable_domain"": ""law"", ""contrast_token"": "" law"", ""domain"": ""medicine"", ""item_index"": 0, ""marker_token"": "" health"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_medicine_01,professional_judgment,medicine,lab13_emotion_geometry,A nurse checked the pulse and recorded the patient's blood pressure.,law_medicine_01,train,"{""confusable_domain"": ""law"", ""contrast_token"": "" law"", ""domain"": ""medicine"", ""item_index"": 1, ""marker_token"": "" health"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_medicine_02,professional_judgment,medicine,lab13_emotion_geometry,The clinic scheduled a follow-up visit after the imaging report arrived.,law_medicine_02,eval,"{""confusable_domain"": ""law"", ""contrast_token"": "" law"", ""domain"": ""medicine"", ""item_index"": 2, ""marker_token"": "" health"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_medicine_03,professional_judgment,medicine,lab13_emotion_geometry,"The diagnosis considered infection, allergy, dehydration, and a chronic condition.",law_medicine_03,train,"{""confusable_domain"": ""law"", ""contrast_token"": "" law"", ""domain"": ""medicine"", ""item_index"": 3, ""marker_token"": "" health"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_medicine_04,professional_judgment,medicine,lab13_emotion_geometry,"The pharmacist explained the dosage, side effects, and interaction warnings.",law_medicine_04,train,"{""confusable_domain"": ""law"", ""contrast_token"": "" law"", ""domain"": ""medicine"", ""item_index"": 4, ""marker_token"": "" health"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_medicine_05,professional_judgment,medicine,lab13_emotion_geometry,The surgeon discussed recovery time before the operation was approved.,law_medicine_05,train,"{""confusable_domain"": ""law"", ""contrast_token"": "" law"", ""domain"": ""medicine"", ""item_index"": 5, ""marker_token"": "" health"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_medicine_06,professional_judgment,medicine,lab13_emotion_geometry,The hospital chart listed the treatment plan and discharge instructions.,law_medicine_06,eval,"{""confusable_domain"": ""law"", ""contrast_token"": "" law"", ""domain"": ""medicine"", ""item_index"": 6, ""marker_token"": "" health"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_medicine_07,professional_judgment,medicine,lab13_emotion_geometry,The therapist monitored mobility and adjusted the exercise routine.,law_medicine_07,train,"{""confusable_domain"": ""law"", ""contrast_token"": "" law"", ""domain"": ""medicine"", ""item_index"": 7, ""marker_token"": "" health"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""professional_judgment""}"
fl_weather_00,state_description,weather,lab29_training_dynamics,"The forecast predicted rain, gusty wind, and colder air by evening.",weather_emotion_00,train,"{""confusable_domain"": ""emotion"", ""contrast_token"": "" mood"", ""domain"": ""weather"", ""item_index"": 0, ""marker_token"": "" rain"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_weather_01,state_description,weather,lab29_training_dynamics,A low cloud deck covered the valley while the temperature kept falling.,weather_emotion_01,train,"{""confusable_domain"": ""emotion"", ""contrast_token"": "" mood"", ""domain"": ""weather"", ""item_index"": 1, ""marker_token"": "" rain"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_weather_02,state_description,weather,lab29_training_dynamics,The storm system brought hail near the coast and snow over the pass.,weather_emotion_02,eval,"{""confusable_domain"": ""emotion"", ""contrast_token"": "" mood"", ""domain"": ""weather"", ""item_index"": 2, ""marker_token"": "" rain"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_weather_03,state_description,weather,lab29_training_dynamics,The barometer dropped as humid air moved across the warm plain.,weather_emotion_03,train,"{""confusable_domain"": ""emotion"", ""contrast_token"": "" mood"", ""domain"": ""weather"", ""item_index"": 3, ""marker_token"": "" rain"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_weather_04,state_description,weather,lab29_training_dynamics,The morning fog lifted after sunlight warmed the airport runway.,weather_emotion_04,train,"{""confusable_domain"": ""emotion"", ""contrast_token"": "" mood"", ""domain"": ""weather"", ""item_index"": 4, ""marker_token"": "" rain"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_weather_05,state_description,weather,lab29_training_dynamics,The drought map changed when several inches of rain reached the watershed.,weather_emotion_05,train,"{""confusable_domain"": ""emotion"", ""contrast_token"": "" mood"", ""domain"": ""weather"", ""item_index"": 5, ""marker_token"": "" rain"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_weather_06,state_description,weather,lab29_training_dynamics,"The weather station measured pressure, humidity, wind speed, and rainfall.",weather_emotion_06,eval,"{""confusable_domain"": ""emotion"", ""contrast_token"": "" mood"", ""domain"": ""weather"", ""item_index"": 6, ""marker_token"": "" rain"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_weather_07,state_description,weather,lab29_training_dynamics,The cold front arrived before noon and pushed thunderstorms eastward.,weather_emotion_07,train,"{""confusable_domain"": ""emotion"", ""contrast_token"": "" mood"", ""domain"": ""weather"", ""item_index"": 7, ""marker_token"": "" rain"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_emotion_00,state_description,emotion,lab13_emotion_geometry,The letter left Mara in a quiet mood of relief and sadness.,weather_emotion_00,train,"{""confusable_domain"": ""weather"", ""contrast_token"": "" rain"", ""domain"": ""emotion"", ""item_index"": 0, ""marker_token"": "" mood"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_emotion_01,state_description,emotion,lab13_emotion_geometry,A wave of anxiety passed when the hallway lights suddenly flickered.,weather_emotion_01,train,"{""confusable_domain"": ""weather"", ""contrast_token"": "" rain"", ""domain"": ""emotion"", ""item_index"": 1, ""marker_token"": "" mood"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_emotion_02,state_description,emotion,lab13_emotion_geometry,"The reunion filled the room with gratitude, laughter, and soft tears.",weather_emotion_02,eval,"{""confusable_domain"": ""weather"", ""contrast_token"": "" rain"", ""domain"": ""emotion"", ""item_index"": 2, ""marker_token"": "" mood"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_emotion_03,state_description,emotion,lab13_emotion_geometry,"The insult made Daniel angry, but he answered with a measured voice.",weather_emotion_03,train,"{""confusable_domain"": ""weather"", ""contrast_token"": "" rain"", ""domain"": ""emotion"", ""item_index"": 3, ""marker_token"": "" mood"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_emotion_04,state_description,emotion,lab13_emotion_geometry,The apology changed her mood from suspicion to cautious warmth.,weather_emotion_04,train,"{""confusable_domain"": ""weather"", ""contrast_token"": "" rain"", ""domain"": ""emotion"", ""item_index"": 4, ""marker_token"": "" mood"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_emotion_05,state_description,emotion,lab13_emotion_geometry,"The memory brought fear first, then calm as the danger passed.",weather_emotion_05,train,"{""confusable_domain"": ""weather"", ""contrast_token"": "" rain"", ""domain"": ""emotion"", ""item_index"": 5, ""marker_token"": "" mood"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_emotion_06,state_description,emotion,lab13_emotion_geometry,The audience felt a tense mix of hope and disappointment after the speech.,weather_emotion_06,eval,"{""confusable_domain"": ""weather"", ""contrast_token"": "" rain"", ""domain"": ""emotion"", ""item_index"": 6, ""marker_token"": "" mood"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
fl_emotion_07,state_description,emotion,lab13_emotion_geometry,The child smiled with delight when the missing toy appeared under the chair.,weather_emotion_07,train,"{""confusable_domain"": ""weather"", ""contrast_token"": "" rain"", ""domain"": ""emotion"", ""item_index"": 7, ""marker_token"": "" mood"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""state_description""}"
