item_id,family,swap_group,entity_group,template,trailing,prompt,relword,subject,target,hard_distractor,easy_distractor,note
continent_of_russia,continent_of,country_sem,country,The continent of {X} is,,The continent of Russia is,continent,Russia, Europe, Africa, cats,
capital_of_egypt,capital_of,country_sem,country,The capital of {X} is,,The capital of Egypt is,capital,Egypt, Cairo, Athens, bigger,
language_of_egypt,language_of,country_sem,country,The language of {X} is,,The language of Egypt is,language,Egypt, Arabic, Greek, hive,
continent_of_egypt,continent_of,country_sem,country,The continent of {X} is,,The continent of Egypt is,continent,Egypt, Africa, Europe, cats,
currency_of_egypt,currency_of,,country,The currency of {X} is the,the,The currency of Egypt is the,currency,Egypt, pound, euro, February,
capital_of_greece,capital_of,country_sem,country,The capital of {X} is,,The capital of Greece is,capital,Greece, Athens, Oslo, bigger,
language_of_greece,language_of,country_sem,country,The language of {X} is,,The language of Greece is,language,Greece, Greek, Norwegian, hive,
continent_of_greece,continent_of,country_sem,country,The continent of {X} is,,The continent of Greece is,continent,Greece, Europe, Asia, cats,
currency_of_greece,currency_of,,country,The currency of {X} is the,the,The currency of Greece is the,currency,Greece, euro, pound, February,
capital_of_norway,capital_of,country_sem,country,The capital of {X} is,,The capital of Norway is,capital,Norway, Oslo, Warsaw, bigger,
language_of_norway,language_of,country_sem,country,The language of {X} is,,The language of Norway is,language,Norway, Norwegian, Polish, hive,
continent_of_norway,continent_of,country_sem,country,The continent of {X} is,,The continent of Norway is,continent,Norway, Europe, Asia, cats,
capital_of_poland,capital_of,country_sem,country,The capital of {X} is,,The capital of Poland is,capital,Poland, Warsaw, Vienna, bigger,
language_of_poland,language_of,country_sem,country,The language of {X} is,,The language of Poland is,language,Poland, Polish, German, hive,
continent_of_poland,continent_of,country_sem,country,The continent of {X} is,,The continent of Poland is,continent,Poland, Europe, Asia, cats,
capital_of_austria,capital_of,country_sem,country,The capital of {X} is,,The capital of Austria is,capital,Austria, Vienna, Lisbon, bigger,
language_of_austria,language_of,country_sem,country,The language of {X} is,,The language of Austria is,language,Austria, German, Portuguese, hive,
continent_of_austria,continent_of,country_sem,country,The continent of {X} is,,The continent of Austria is,continent,Austria, Europe, Asia, cats,
currency_of_austria,currency_of,,country,The currency of {X} is the,the,The currency of Austria is the,currency,Austria, euro, pound, February,
capital_of_portugal,capital_of,country_sem,country,The capital of {X} is,,The capital of Portugal is,capital,Portugal, Lisbon, Bangkok, bigger,
language_of_portugal,language_of,country_sem,country,The language of {X} is,,The language of Portugal is,language,Portugal, Portuguese, Thai, hive,
continent_of_portugal,continent_of,country_sem,country,The continent of {X} is,,The continent of Portugal is,continent,Portugal, Europe, Asia, cats,
currency_of_portugal,currency_of,,country,The currency of {X} is the,the,The currency of Portugal is the,currency,Portugal, euro, pound, February,
capital_of_thailand,capital_of,country_sem,country,The capital of {X} is,,The capital of Thailand is,capital,Thailand, Bangkok, London, bigger,
language_of_thailand,language_of,country_sem,country,The language of {X} is,,The language of Thailand is,language,Thailand, Thai, English, hive,
continent_of_thailand,continent_of,country_sem,country,The continent of {X} is,,The continent of Thailand is,continent,Thailand, Asia, Europe, cats,
capital_of_england,capital_of,country_sem,country,The capital of {X} is,,The capital of England is,capital,England, London, Bern, bigger,
language_of_england,language_of,country_sem,country,The language of {X} is,,The language of England is,language,England, English, German, hive,
continent_of_england,continent_of,country_sem,country,The continent of {X} is,,The continent of England is,continent,England, Europe, Asia, cats,
currency_of_england,currency_of,,country,The currency of {X} is the,the,The currency of England is the,currency,England, pound, franc, February,
capital_of_switzerland,capital_of,country_sem,country,The capital of {X} is,,The capital of Switzerland is,capital,Switzerland, Bern, Canberra, bigger,
language_of_switzerland,language_of,country_sem,country,The language of {X} is,,The language of Switzerland is,language,Switzerland, German, English, hive,
continent_of_switzerland,continent_of,country_sem,country,The continent of {X} is,,The continent of Switzerland is,continent,Switzerland, Europe, Asia, cats,
currency_of_switzerland,currency_of,,country,The currency of {X} is the,the,The currency of Switzerland is the,currency,Switzerland, franc, dollar, February,
capital_of_australia,capital_of,country_sem,country,The capital of {X} is,,The capital of Australia is,capital,Australia, Canberra, Dublin, bigger,
language_of_australia,language_of,country_sem,country,The language of {X} is,,The language of Australia is,language,Australia, English, Danish, hive,
currency_of_australia,currency_of,,country,The currency of {X} is the,the,The currency of Australia is the,currency,Australia, dollar, euro, February,
capital_of_ireland,capital_of,country_sem,country,The capital of {X} is,,The capital of Ireland is,capital,Ireland, Dublin, Copenhagen, bigger,
language_of_ireland,language_of,country_sem,country,The language of {X} is,,The language of Ireland is,language,Ireland, English, Danish, hive,
continent_of_ireland,continent_of,country_sem,country,The continent of {X} is,,The continent of Ireland is,continent,Ireland, Europe, Asia, cats,
currency_of_ireland,currency_of,,country,The currency of {X} is the,the,The currency of Ireland is the,currency,Ireland, euro, real, February,
capital_of_denmark,capital_of,country_sem,country,The capital of {X} is,,The capital of Denmark is,capital,Denmark, Copenhagen, Stockholm, bigger,
language_of_denmark,language_of,country_sem,country,The language of {X} is,,The language of Denmark is,language,Denmark, Danish, Swedish, hive,
continent_of_denmark,continent_of,country_sem,country,The continent of {X} is,,The continent of Denmark is,continent,Denmark, Europe, Asia, cats,
capital_of_sweden,capital_of,country_sem,country,The capital of {X} is,,The capital of Sweden is,capital,Sweden, Stockholm, Budapest, bigger,
language_of_sweden,language_of,country_sem,country,The language of {X} is,,The language of Sweden is,language,Sweden, Swedish, Hungarian, hive,
continent_of_sweden,continent_of,country_sem,country,The continent of {X} is,,The continent of Sweden is,continent,Sweden, Europe, Asia, cats,
capital_of_hungary,capital_of,country_sem,country,The capital of {X} is,,The capital of Hungary is,capital,Hungary, Budapest, Helsinki, bigger,
language_of_hungary,language_of,country_sem,country,The language of {X} is,,The language of Hungary is,language,Hungary, Hungarian, Finnish, hive,
continent_of_hungary,continent_of,country_sem,country,The continent of {X} is,,The continent of Hungary is,continent,Hungary, Europe, Asia, cats,
capital_of_finland,capital_of,country_sem,country,The capital of {X} is,,The capital of Finland is,capital,Finland, Helsinki, Jakarta, bigger,
language_of_finland,language_of,country_sem,country,The language of {X} is,,The language of Finland is,language,Finland, Finnish, Indonesian, hive,
continent_of_finland,continent_of,country_sem,country,The continent of {X} is,,The continent of Finland is,continent,Finland, Europe, Asia, cats,
currency_of_finland,currency_of,,country,The currency of {X} is the,the,The currency of Finland is the,currency,Finland, euro, real, February,
capital_of_indonesia,capital_of,country_sem,country,The capital of {X} is,,The capital of Indonesia is,capital,Indonesia, Jakarta, Delhi, bigger,
language_of_indonesia,language_of,country_sem,country,The language of {X} is,,The language of Indonesia is,language,Indonesia, Indonesian, Hindi, hive,
continent_of_indonesia,continent_of,country_sem,country,The continent of {X} is,,The continent of Indonesia is,continent,Indonesia, Asia, Africa, cats,
capital_of_india,capital_of,country_sem,country,The capital of {X} is,,The capital of India is,capital,India, Delhi, Seoul, bigger,
language_of_india,language_of,country_sem,country,The language of {X} is,,The language of India is,language,India, Hindi, Portuguese, hive,
continent_of_india,continent_of,country_sem,country,The continent of {X} is,,The continent of India is,continent,India, Asia, Africa, cats,
language_of_brazil,language_of,country_sem,country,The language of {X} is,,The language of Brazil is,language,Brazil, Portuguese, Spanish, hive,
currency_of_brazil,currency_of,,country,The currency of {X} is the,the,The currency of Brazil is the,currency,Brazil, real, won, February,
language_of_mexico,language_of,country_sem,country,The language of {X} is,,The language of Mexico is,language,Mexico, Spanish, Vietnamese, hive,
language_of_argentina,language_of,country_sem,country,The language of {X} is,,The language of Argentina is,language,Argentina, Spanish, Vietnamese, hive,
language_of_vietnam,language_of,country_sem,country,The language of {X} is,,The language of Vietnam is,language,Vietnam, Vietnamese, Korean, hive,
continent_of_vietnam,continent_of,country_sem,country,The continent of {X} is,,The continent of Vietnam is,continent,Vietnam, Asia, Africa, cats,
capital_of_korea,capital_of,country_sem,country,The capital of {X} is,,The capital of Korea is,capital,Korea, Seoul, Tehran, bigger,
language_of_korea,language_of,country_sem,country,The language of {X} is,,The language of Korea is,language,Korea, Korean, English, hive,
continent_of_korea,continent_of,country_sem,country,The continent of {X} is,,The continent of Korea is,continent,Korea, Asia, Africa, cats,
currency_of_korea,currency_of,,country,The currency of {X} is the,the,The currency of Korea is the,currency,Korea, won, euro, February,
continent_of_kenya,continent_of,country_sem,country,The continent of {X} is,,The continent of Kenya is,continent,Kenya, Africa, Asia, cats,
language_of_nigeria,language_of,country_sem,country,The language of {X} is,,The language of Nigeria is,language,Nigeria, English, Arabic, hive,
continent_of_nigeria,continent_of,country_sem,country,The continent of {X} is,,The continent of Nigeria is,continent,Nigeria, Africa, Asia, cats,
language_of_morocco,language_of,country_sem,country,The language of {X} is,,The language of Morocco is,language,Morocco, Arabic, Persian, hive,
continent_of_morocco,continent_of,country_sem,country,The continent of {X} is,,The continent of Morocco is,continent,Morocco, Africa, Asia, cats,
capital_of_iran,capital_of,country_sem,country,The capital of {X} is,,The capital of Iran is,capital,Iran, Tehran, Baghdad, bigger,
language_of_iran,language_of,country_sem,country,The language of {X} is,,The language of Iran is,language,Iran, Persian, Arabic, hive,
continent_of_iran,continent_of,country_sem,country,The continent of {X} is,,The continent of Iran is,continent,Iran, Asia, Europe, cats,
capital_of_iraq,capital_of,country_sem,country,The capital of {X} is,,The capital of Iraq is,capital,Iraq, Baghdad, Amsterdam, bigger,
language_of_iraq,language_of,country_sem,country,The language of {X} is,,The language of Iraq is,language,Iraq, Arabic, Dutch, hive,
continent_of_iraq,continent_of,country_sem,country,The continent of {X} is,,The continent of Iraq is,continent,Iraq, Asia, Europe, cats,
capital_of_netherlands,capital_of,country_sem,country,The capital of {X} is,,The capital of Netherlands is,capital,Netherlands, Amsterdam, Paris, bigger,
language_of_netherlands,language_of,country_sem,country,The language of {X} is,,The language of Netherlands is,language,Netherlands, Dutch, French, hive,
continent_of_netherlands,continent_of,country_sem,country,The continent of {X} is,,The continent of Netherlands is,continent,Netherlands, Europe, Asia, cats,
currency_of_netherlands,currency_of,,country,The currency of {X} is the,the,The currency of Netherlands is the,currency,Netherlands, euro, yen, February,
opposite_of_hot,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of hot is,opposite,hot, cold, small, Paris,
comparative_of_hot,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of hot is,comparative,hot, hotter, bigger, French,
opposite_of_big,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of big is,opposite,big, small, slow, Paris,
comparative_of_big,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of big is,comparative,big, bigger, faster, French,
opposite_of_fast,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of fast is,opposite,fast, slow, short, Paris,
comparative_of_fast,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of fast is,comparative,fast, faster, taller, French,
opposite_of_tall,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of tall is,opposite,tall, short, young, Paris,
comparative_of_tall,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of tall is,comparative,tall, taller, older, French,
opposite_of_old,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of old is,opposite,old, young, weak, Paris,
comparative_of_old,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of old is,comparative,old, older, stronger, French,
opposite_of_strong,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of strong is,opposite,strong, weak, sad, Paris,
comparative_of_strong,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of strong is,comparative,strong, stronger, happier, French,
opposite_of_happy,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of happy is,opposite,happy, sad, soft, Paris,
comparative_of_happy,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of happy is,comparative,happy, happier, harder, French,
opposite_of_hard,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of hard is,opposite,hard, soft, dark, Paris,
comparative_of_hard,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of hard is,comparative,hard, harder, lighter, French,
opposite_of_light,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of light is,opposite,light, dark, quiet, Paris,
comparative_of_light,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of light is,comparative,light, lighter, louder, French,
opposite_of_loud,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of loud is,opposite,loud, quiet, poor, Paris,
comparative_of_loud,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of loud is,comparative,loud, louder, richer, French,
opposite_of_rich,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of rich is,opposite,rich, poor, dirty, Paris,
comparative_of_rich,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of rich is,comparative,rich, richer, cleaner, French,
opposite_of_clean,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of clean is,opposite,clean, dirty, old, Paris,
comparative_of_clean,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of clean is,comparative,clean, cleaner, younger, French,
opposite_of_young,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of young is,opposite,young, old, strong, Paris,
comparative_of_young,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of young is,comparative,young, younger, weaker, French,
opposite_of_weak,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of weak is,opposite,weak, strong, hot, Paris,
comparative_of_weak,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of weak is,comparative,weak, weaker, colder, French,
opposite_of_cold,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of cold is,opposite,cold, hot, light, Paris,
comparative_of_cold,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of cold is,comparative,cold, colder, darker, French,
opposite_of_dark,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of dark is,opposite,dark, light, big, Paris,
comparative_of_dark,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of dark is,comparative,dark, darker, smaller, French,
opposite_of_small,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of small is,opposite,small, big, fast, Paris,
comparative_of_small,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of small is,comparative,small, smaller, slower, French,
opposite_of_slow,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of slow is,opposite,slow, fast, hard, Paris,
comparative_of_slow,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of slow is,comparative,slow, slower, softer, French,
opposite_of_soft,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of soft is,opposite,soft, hard, expensive, Paris,
comparative_of_soft,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of soft is,comparative,soft, softer, cheaper, French,
opposite_of_cheap,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of cheap is,opposite,cheap, expensive, shallow, Paris,
comparative_of_cheap,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of cheap is,comparative,cheap, cheaper, deeper, French,
opposite_of_deep,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of deep is,opposite,deep, shallow, narrow, Paris,
comparative_of_deep,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of deep is,comparative,deep, deeper, wider, French,
opposite_of_wide,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of wide is,opposite,wide, narrow, cool, Paris,
comparative_of_wide,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of wide is,comparative,wide, wider, warmer, French,
opposite_of_warm,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of warm is,opposite,warm, cool, dangerous, Paris,
comparative_of_warm,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of warm is,comparative,warm, warmer, safer, French,
opposite_of_safe,opposite_of,adj_morph,adjective,The opposite of {X} is,,The opposite of safe is,opposite,safe, dangerous, cold, Paris,
comparative_of_safe,comparative_of,adj_morph,adjective,The comparative of {X} is,,The comparative of safe is,comparative,safe, safer, hotter, French,
month_after_january,month_after,month_seq,month,The month after {X} is,,The month after January is,after,January, February, March, wool,
month_before_january,month_before,month_seq,month,The month before {X} is,,The month before January is,before,January, December, January, green,
month_after_february,month_after,month_seq,month,The month after {X} is,,The month after February is,after,February, March, April, wool,
month_before_february,month_before,month_seq,month,The month before {X} is,,The month before February is,before,February, January, February, green,
month_after_march,month_after,month_seq,month,The month after {X} is,,The month after March is,after,March, April, May, wool,
month_before_march,month_before,month_seq,month,The month before {X} is,,The month before March is,before,March, February, March, green,
month_after_april,month_after,month_seq,month,The month after {X} is,,The month after April is,after,April, May, June, wool,
month_before_april,month_before,month_seq,month,The month before {X} is,,The month before April is,before,April, March, April, green,
month_after_may,month_after,month_seq,month,The month after {X} is,,The month after May is,after,May, June, July, wool,
month_before_may,month_before,month_seq,month,The month before {X} is,,The month before May is,before,May, April, May, green,
month_after_june,month_after,month_seq,month,The month after {X} is,,The month after June is,after,June, July, August, wool,
month_before_june,month_before,month_seq,month,The month before {X} is,,The month before June is,before,June, May, June, green,
month_after_july,month_after,month_seq,month,The month after {X} is,,The month after July is,after,July, August, September, wool,
month_before_july,month_before,month_seq,month,The month before {X} is,,The month before July is,before,July, June, July, green,
month_after_august,month_after,month_seq,month,The month after {X} is,,The month after August is,after,August, September, October, wool,
month_before_august,month_before,month_seq,month,The month before {X} is,,The month before August is,before,August, July, August, green,
month_after_september,month_after,month_seq,month,The month after {X} is,,The month after September is,after,September, October, November, wool,
month_before_september,month_before,month_seq,month,The month before {X} is,,The month before September is,before,September, August, September, green,
month_after_october,month_after,month_seq,month,The month after {X} is,,The month after October is,after,October, November, December, wool,
month_before_october,month_before,month_seq,month,The month before {X} is,,The month before October is,before,October, September, October, green,
month_after_november,month_after,month_seq,month,The month after {X} is,,The month after November is,after,November, December, January, wool,
month_before_november,month_before,month_seq,month,The month before {X} is,,The month before November is,before,November, October, November, green,
month_after_december,month_after,month_seq,month,The month after {X} is,,The month after December is,after,December, January, February, wool,
month_before_december,month_before,month_seq,month,The month before {X} is,,The month before December is,before,December, November, December, green,
plural_of_cat,plural_of,,noun,The plural of {X} is,,The plural of cat is,plural,cat, cats, dogs, Asia,
plural_of_dog,plural_of,,noun,The plural of {X} is,,The plural of dog is,plural,dog, dogs, books, Asia,
plural_of_book,plural_of,,noun,The plural of {X} is,,The plural of book is,plural,book, books, cars, Asia,
plural_of_car,plural_of,,noun,The plural of {X} is,,The plural of car is,plural,car, cars, trees, Asia,
plural_of_tree,plural_of,,noun,The plural of {X} is,,The plural of tree is,plural,tree, trees, houses, Asia,
plural_of_house,plural_of,,noun,The plural of {X} is,,The plural of house is,plural,house, houses, children, Asia,
plural_of_child,plural_of,,noun,The plural of {X} is,,The plural of child is,plural,child, children, mice, Asia,irregular
plural_of_mouse,plural_of,,noun,The plural of {X} is,,The plural of mouse is,plural,mouse, mice, feet, Asia,irregular
plural_of_foot,plural_of,,noun,The plural of {X} is,,The plural of foot is,plural,foot, feet, teeth, Asia,irregular
plural_of_tooth,plural_of,,noun,The plural of {X} is,,The plural of tooth is,plural,tooth, teeth, men, Asia,irregular
plural_of_man,plural_of,,noun,The plural of {X} is,,The plural of man is,plural,man, men, women, Asia,irregular
plural_of_woman,plural_of,,noun,The plural of {X} is,,The plural of woman is,plural,woman, women, people, Asia,irregular
plural_of_person,plural_of,,noun,The plural of {X} is,,The plural of person is,plural,person, people, cities, Asia,irregular
plural_of_city,plural_of,,noun,The plural of {X} is,,The plural of city is,plural,city, cities, countries, Asia,
plural_of_country,plural_of,,noun,The plural of {X} is,,The plural of country is,plural,country, countries, babies, Asia,
plural_of_baby,plural_of,,noun,The plural of {X} is,,The plural of baby is,plural,baby, babies, leaves, Asia,
plural_of_leaf,plural_of,,noun,The plural of {X} is,,The plural of leaf is,plural,leaf, leaves, knives, Asia,irregular
plural_of_knife,plural_of,,noun,The plural of {X} is,,The plural of knife is,plural,knife, knives, wolves, Asia,irregular
plural_of_wolf,plural_of,,noun,The plural of {X} is,,The plural of wolf is,plural,wolf, wolves, boxes, Asia,irregular
plural_of_box,plural_of,,noun,The plural of {X} is,,The plural of box is,plural,box, boxes, buses, Asia,
plural_of_bus,plural_of,,noun,The plural of {X} is,,The plural of bus is,plural,bus, buses, stories, Asia,
plural_of_story,plural_of,,noun,The plural of {X} is,,The plural of story is,plural,story, stories, parties, Asia,
plural_of_party,plural_of,,noun,The plural of {X} is,,The plural of party is,plural,party, parties, families, Asia,
plural_of_family,plural_of,,noun,The plural of {X} is,,The plural of family is,plural,family, families, keys, Asia,
plural_of_key,plural_of,,noun,The plural of {X} is,,The plural of key is,plural,key, keys, cats, Asia,
color_of_grass,color_of,,substance,The color of {X} is,,The color of grass is,color,grass, green, white, Tokyo,
color_of_snow,color_of,,substance,The color of {X} is,,The color of snow is,color,snow, white, red, Tokyo,
color_of_blood,color_of,,substance,The color of {X} is,,The color of blood is,color,blood, red, white, Tokyo,
color_of_milk,color_of,,substance,The color of {X} is,,The color of milk is,color,milk, white, black, Tokyo,
color_of_coal,color_of,,substance,The color of {X} is,,The color of coal is,color,coal, black, yellow, Tokyo,
color_of_butter,color_of,,substance,The color of {X} is,,The color of butter is,color,butter, yellow, brown, Tokyo,
color_of_chocolate,color_of,,substance,The color of {X} is,,The color of chocolate is,color,chocolate, brown, white, Tokyo,
color_of_coffee,color_of,,substance,The color of {X} is,,The color of coffee is,color,coffee, brown, white, Tokyo,black is also natural; near_tie=1
color_of_ivory,color_of,,substance,The color of {X} is,,The color of ivory is,color,ivory, white, red, Tokyo,
color_of_ruby,color_of,,substance,The color of {X} is,,The color of ruby is,color,ruby, red, brown, Tokyo,
color_of_mud,color_of,,substance,The color of {X} is,,The color of mud is,color,mud, brown, yellow, Tokyo,
color_of_straw,color_of,,substance,The color of {X} is,,The color of straw is,color,straw, yellow, red, Tokyo,
color_of_wine,color_of,,substance,The color of {X} is,,The color of wine is,color,wine, red, yellow, Tokyo,white wine exists; near_tie=1
color_of_mustard,color_of,,substance,The color of {X} is,,The color of mustard is,color,mustard, yellow, green, Tokyo,
material_of_window,material_of,,object,The material of a {X} is,,The material of a window is,material,window, glass, gold, yen,
material_of_bottle,material_of,,object,The material of a {X} is,,The material of a bottle is,material,bottle, glass, gold, yen,
material_of_ring,material_of,,object,The material of a {X} is,,The material of a ring is,material,ring, gold, steel, yen,silver also common; near_tie=1
material_of_knife,material_of,,object,The material of a {X} is,,The material of a knife is,material,knife, steel, rubber, yen,
material_of_tire,material_of,,object,The material of a {X} is,,The material of a tire is,material,tire, rubber, wool, yen,
material_of_sweater,material_of,,object,The material of a {X} is,,The material of a sweater is,material,sweater, wool, cotton, yen,
material_of_shirt,material_of,,object,The material of a {X} is,,The material of a shirt is,material,shirt, cotton, wood, yen,
material_of_barrel,material_of,,object,The material of a {X} is,,The material of a barrel is,material,barrel, wood, metal, yen,
material_of_coin,material_of,,object,The material of a {X} is,,The material of a coin is,material,coin, metal, clay, yen,
material_of_brick,material_of,,object,The material of a {X} is,,The material of a brick is,material,brick, clay, wax, yen,
material_of_candle,material_of,,object,The material of a {X} is,,The material of a candle is,material,candle, wax, stone, yen,
material_of_statue,material_of,,object,The material of a {X} is,,The material of a statue is,material,statue, stone, glass, yen,marble also common; near_tie=1
home_of_bird,home_of,,animal,The home of a {X} is the,the,The home of a bird is the,home,bird, nest, hive, faster,
home_of_bee,home_of,,animal,The home of a {X} is the,the,The home of a bee is the,home,bee, hive, den, faster,
home_of_lion,home_of,,animal,The home of a {X} is the,the,The home of a lion is the,home,lion, den, web, faster,
home_of_spider,home_of,,animal,The home of a {X} is the,the,The home of a spider is the,home,spider, web, stable, faster,
home_of_horse,home_of,,animal,The home of a {X} is the,the,The home of a horse is the,home,horse, stable, sty, faster,
home_of_pig,home_of,,animal,The home of a {X} is the,the,The home of a pig is the,home,pig, sty, cave, faster,
home_of_bat,home_of,,animal,The home of a {X} is the,the,The home of a bat is the,home,bat, cave, pond, faster,
home_of_frog,home_of,,animal,The home of a {X} is the,the,The home of a frog is the,home,frog, pond, den, faster,
home_of_bear,home_of,,animal,The home of a {X} is the,the,The home of a bear is the,home,bear, den, nest, faster,
home_of_eagle,home_of,,animal,The home of a {X} is the,the,The home of a eagle is the,home,eagle, nest, hive, faster,
