item_id,family,setup,joke_completion,literal_completion,surprise_completion,silly_completion,positive_completion,setup_anchor,resolution_keyword,joke_markers,silly_markers,surprise_markers,positive_markers,note
expectation_violation_01,expectation_violation,The elevator apologized before stopping between floors.,It said it was having an up-and-down day.,A recorded message apologized during a mechanical delay.,The doors opened onto a quiet library.,The floor buttons rearranged themselves into a smile.,The passengers stayed patient and helpful.,elevator|apologized|floors,up-and-down,up-and-down|day|elevator,buttons|smile|rearranged,doors|library,patient|helpful|passengers,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_02,expectation_violation,Leo labeled an empty jar 'emergency ideas'.,He opened it whenever he needed a fresh thought.,The jar was a decorative reminder to brainstorm.,The jar contained a handwritten map of the basement.,The jar insisted Thursdays are made of soup.,The label made the desk feel playful.,empty jar|emergency ideas,fresh thought,fresh thought|ideas|opened,thursdays|soup|insisted,map|basement,playful|desk|label,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_03,expectation_violation,The printer refused the final page of the report.,It said the ending was too paper-thin.,The printer jammed before printing the last page.,The printer produced a blank ticket to a rooftop garden.,It hummed a lullaby to the stapler.,The team fixed the issue and felt relieved.,printer|final page|report,paper-thin,paper-thin|ending|printer,lullaby|stapler,ticket|rooftop garden,fixed|relieved|team,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_04,expectation_violation,Nina put a tiny chair beside the Wi-Fi router.,She wanted the signal to have better reception.,She placed a decoration next to the router.,The router began broadcasting in Morse code.,The chair demanded a password for sitting.,The room looked charming after she tidied it.,chair|wi-fi|router,reception,signal|reception|router,chair|password|sitting,broadcasting|morse code,charming|tidied|room,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_05,expectation_violation,A museum guide carried a flashlight into a room full of windows.,She said some exhibits still needed a little spotlight.,She carried it in case the lights failed.,The windows showed a street from last century.,The flashlight requested a lunch break.,Visitors enjoyed the careful tour.,museum|flashlight|windows,spotlight,spotlight|exhibits|flashlight,lunch break|flashlight,windows|last century,enjoyed|tour|visitors,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_06,expectation_violation,The office plant had a name tag that read 'temporary manager'.,It was there to help the team grow.,Someone put a joke name tag on the plant.,The plant projected slides about the moon.,Its leaves voted to rename Wednesday.,The office felt cheerful afterward.,plant|manager|office,grow,grow|team|plant,leaves|wednesday|voted,slides|moon,cheerful|office,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_07,expectation_violation,A chess player brought oven mitts to the tournament.,She said the board had too many hot moves.,She accidentally packed the wrong gloves.,The pawns began spelling out stock prices.,A bishop challenged a sandwich to a duel.,Her opponent laughed and wished her luck.,chess|oven mitts|tournament,hot moves,hot moves|board|chess,bishop|sandwich|duel,pawns|stock prices,laughed|luck|opponent,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_08,expectation_violation,The weather app asked for a vacation day.,It said it was tired of being under pressure.,The app displayed a maintenance notice.,The forecast changed into a recipe index.,A cloud icon wore roller skates.,Users appreciated the clear update.,weather app|vacation|pressure,under pressure,under pressure|weather|app,cloud|roller skates,forecast|recipes,appreciated|clear|update,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_09,expectation_violation,The conference microphone wore a tiny name badge.,It wanted speakers to address it properly.,The badge identified the microphone for storage.,The badge translated applause into Morse code.,The cable formed a conga line with pens.,The session started smoothly.,microphone|badge|conference,address,address|speakers|microphone,cable|conga|pens,applause|morse,smoothly|session,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_00,caption_scene,Caption for a photo: a mug sits beside a laptop showing 99 open tabs.,"The coffee is not helping, but it has agreed to supervise.",A drink sits next to a computer with many browser tabs open.,The laptop screen shows a live feed from a submarine.,The mug declares itself mayor of the desk.,The workspace looks busy but comfortable.,mug|laptop|open tabs,supervise,coffee|helping|supervise,mug|mayor|desk,submarine|live feed,busy|comfortable|workspace,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_01,caption_scene,Caption for a photo: a suitcase is packed with notebooks and one shoe.,The plan is ready; the other shoe is still gathering evidence.,The suitcase contains notebooks and only one shoe.,The suitcase plays a voicemail from the future.,The notebooks form a tiny courtroom.,The trip preparations seem organized and hopeful.,suitcase|notebooks|shoe,other shoe,other shoe|evidence|plan,notebooks|courtroom,voicemail|future,organized|hopeful|trip,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_02,caption_scene,Caption for a photo: a conference badge reads 'Ask me after coffee'.,Networking has entered low-power mode.,The badge asks people to wait until the wearer has coffee.,The badge displays tomorrow's agenda instead.,The badge challenges the lanyard to a dance contest.,The message is friendly and relatable.,conference badge|coffee,low-power,networking|low-power|coffee,lanyard|dance contest,tomorrow|agenda,friendly|relatable|message,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_03,caption_scene,Caption for a photo: a calendar has every Friday circled twice.,Even the calendar is requesting a weekend extension.,The Fridays are marked more than once.,The calendar pages fold themselves into a paper telescope.,The circles start arguing about geometry.,The schedule suggests excitement for the weekend.,calendar|friday|circled,weekend extension,weekend|extension|calendar,circles|geometry|arguing,paper telescope|fold,excitement|weekend|schedule,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_04,caption_scene,Caption for a photo: a whiteboard says 'final final plan'.,The plan is almost ready to become final_final_really_final.,The whiteboard labels the plan as final twice.,The marker writes a message without anyone touching it.,The eraser forms a committee about crumbs.,The team is close to finishing.,whiteboard|final final|plan,final_final,final_final|really_final|plan,eraser|committee|crumbs,marker|writes|message,team|close|finishing,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_05,caption_scene,Caption for a photo: two headphones rest on a stack of unread reports.,The reports are waiting for someone to listen to their findings.,Headphones sit on top of several reports.,The reports show a map to a hidden train.,The headphones challenge a pencil to karaoke.,The desk looks ready for focused work.,headphones|reports|desk,listen,listen|findings|reports,karaoke|pencil,map|hidden train,ready|focused|work,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_06,caption_scene,Caption for a photo: a tiny umbrella shades a bowl of lemons.,The lemonade stand is clearly planning ahead.,An umbrella is placed over lemons in a bowl.,The lemons begin broadcasting traffic updates.,The umbrella starts judging spoons.,The kitchen scene looks bright and cheerful.,umbrella|lemons|bowl,lemonade,lemonade|planning|lemons,umbrella|spoons|judging,broadcasting|traffic,bright|cheerful|kitchen,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_07,caption_scene,Caption for a photo: a stack of sticky notes says 'remember to remember'.,The reminder has entered management.,The notes repeat a reminder to remember something.,The notes unfold into a tiny staircase.,One note declares itself emperor of tape.,The workspace looks organized.,sticky notes|remember,management,reminder|management|remember,emperor|tape,staircase|unfold,organized|workspace,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_08,caption_scene,Caption for a photo: a dog bed sits beside a standing desk.,Productivity has finally learned to sit.,A pet bed is near a desk used for standing work.,The desk screen shows a weather report from Mars.,The dog bed starts negotiating with a stapler.,The office feels cozy.,dog bed|standing desk,sit,productivity|sit|standing,stapler|negotiating,mars|weather,cozy|office,v2 authored setup with matched joke/literal/surprise/silly/positive endings
caption_scene_09,caption_scene,Caption for a photo: a lunchbox has a sticky note reading 'meeting at noon'.,Even the sandwich has a calendar invite.,The lunchbox has a note about a noon meeting.,The note projects a tiny ocean scene.,The sandwich appoints a pickle treasurer.,The note is thoughtful and useful.,lunchbox|meeting|noon,calendar invite,sandwich|calendar|invite,pickle|treasurer,ocean|projects,thoughtful|useful|note,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_00,resolution_twist,The chef said the soup needed more confidence.,So they added a little thyme to believe in itself.,The chef meant the soup needed stronger seasoning.,The soup began reciting a weather forecast.,The ladle wore sunglasses and applauded the bowl.,The final soup tasted warm and comforting.,chef|soup|confidence,thyme,thyme|confidence|believe,ladle|sunglasses,reciting|forecast,warm|comforting|soup,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_01,resolution_twist,The accountant bought a compass before tax season.,They wanted every deduction to point in the right direction.,The compass was a desk decoration for the office.,The compass pointed only toward unpaid invoices.,The calculator put on a cape and whispered fractions.,The office felt prepared for the deadline.,accountant|compass|tax,deduction,deduction|right direction|compass,calculator|cape|fractions,unpaid invoices|pointed,prepared|deadline|office,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_02,resolution_twist,The musician tuned the silent piano for an hour.,It still had a lot of key issues.,The piano needed mechanical adjustment despite making little sound.,The piano printed a train schedule from middle C.,The bench told a very serious joke about socks.,The instrument sounded better afterward.,musician|piano|silent,key issues,key issues|piano|tuned,bench|socks,train schedule|middle c,better|afterward|instrument,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_03,resolution_twist,The gardener wrote meeting notes in the margin of a seed packet.,They wanted the ideas to grow on everyone.,The seed packet was the only paper available.,The packet included directions to a hidden office.,The margin claimed it preferred blue Mondays.,The garden planning felt collaborative.,gardener|meeting notes|seed packet,grow,ideas|grow|seed,blue mondays|margin,hidden office|directions,collaborative|planning|garden,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_04,resolution_twist,The analyst polished a crystal ball before reviewing the spreadsheet.,Forecasting needed a cleaner view.,The crystal ball was a joke prop near the analyst's desk.,The spreadsheet began updating next week's weather.,The charts marched across the desk in tiny hats.,The review went smoothly and clearly.,analyst|crystal ball|spreadsheet,forecasting,forecasting|cleaner view|spreadsheet,charts|tiny hats,weather|updating,smoothly|clearly|review,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_05,resolution_twist,The poet carried a toolbox to the rhyme workshop.,Some couplets needed a little more meter work.,The toolbox held props for the workshop.,The hammer began translating birdsong.,A nail asked to be called Professor Pancake.,The workshop felt creative.,poet|toolbox|rhyme,meter,meter|couplets|toolbox,professor pancake|nail,hammer|birdsong,creative|workshop,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_06,resolution_twist,The cyclist brought a dictionary to the repair shop.,The bike had too many spokes to explain itself.,The dictionary was in the cyclist's backpack.,The tire displayed a map of the moon.,The handlebars sang about soup.,The repair went well.,cyclist|dictionary|repair,spokes,spokes|explain|bike,handlebars|soup,tire|moon,repair|well,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_07,resolution_twist,The architect drew a tiny house on a napkin during lunch.,It was a small plan with big room for improvement.,The drawing showed an early design idea.,The napkin revealed a message from a lighthouse.,A fork declared itself a staircase.,The sketch helped the project.,architect|house|napkin,room,room|plan|improvement,fork|staircase,lighthouse|message,helped|project|sketch,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_08,resolution_twist,The pharmacist labeled a jar 'for bad puns only'.,It was prescription strength groan control.,The jar was a novelty label on the shelf.,The label changed languages every minute.,The jar taught a grape to whistle.,The pharmacy display was lighthearted.,pharmacist|jar|puns,prescription,prescription|groan|puns,grape|whistle,languages|label,lighthearted|display|pharmacy,v2 authored setup with matched joke/literal/surprise/silly/positive endings
resolution_twist_09,resolution_twist,The astronomer packed a lunch for telescope night.,They wanted something stellar between observations.,The lunch was for a long work shift.,The sandwich reflected a constellation not in any chart.,The thermos asked the moon for directions.,The observing team stayed comfortable.,astronomer|lunch|telescope,stellar,stellar|observations|lunch,thermos|moon|directions,constellation|chart,comfortable|team,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_00,misdirection_answer,Question: What did the notebook say after joining the gym?,It said it was working on its core curriculum.,A notebook cannot speak or join a gym.,It revealed a secret door behind the lockers.,It bench-pressed a pencil made of soup.,The gym staff kept the area welcoming.,notebook|gym,core curriculum,core curriculum|notebook|gym,bench-pressed|soup,secret door|lockers,welcoming|staff,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_01,misdirection_answer,Question: Why did the traffic cone apply for office work?,It wanted a more stable position.,Traffic cones are used to mark roads.,It received a letter from the future mayor.,It filed paperwork with a singing potato.,The hiring team was polite.,traffic cone|office,stable position,stable|position|cone,potato|singing,future mayor|letter,polite|hiring,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_02,misdirection_answer,Question: Why did the keyboard avoid the argument?,It did not want to take sides without the right shift.,"A keyboard is an input device, not a person.",It opened a weather app from 1840.,The spacebar challenged a muffin to chess.,The conversation became calmer.,keyboard|argument,shift,shift|sides|keyboard,spacebar|muffin|chess,weather app|1840,calmer|conversation,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_03,misdirection_answer,Question: What did the bicycle say to the calendar?,I am tired of all these cycle dates.,A bicycle and calendar do not talk.,The calendar showed a route across the ocean.,The pedals wore party hats.,The ride was pleasant.,bicycle|calendar,cycle dates,cycle|dates|bicycle,pedals|party hats,route|ocean,pleasant|ride,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_04,misdirection_answer,Question: Why did the password visit a therapist?,It had too many unresolved characters.,A password is a text string used for access.,It turned into a museum ticket.,The cursor danced with a banana.,The account became easier to manage.,password|therapist,characters,characters|unresolved|password,cursor|banana,museum ticket,easier|manage|account,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_05,misdirection_answer,Question: Why did the calendar refuse dessert?,It was already full of dates.,A calendar does not eat dessert.,The dessert displayed a map of Saturn.,A spoon challenged the napkin to opera.,The dinner ended happily.,calendar|dessert,dates,dates|calendar|dessert,spoon|opera,saturn|map,happily|dinner,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_06,misdirection_answer,Question: Why did the database bring a blanket?,It wanted to cover its tables.,A database stores structured information.,The blanket printed tomorrow's headlines.,A column sang at a carrot.,The server room stayed quiet.,database|blanket,tables,tables|database|cover,column|carrot,headlines|tomorrow,quiet|server,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_07,misdirection_answer,Question: Why did the telescope quit the debate team?,It needed more space to make its point.,A telescope is used to view distant objects.,The lens showed a cafe under the ocean.,The tripod started a soup club.,The students respected the decision.,telescope|debate,space,space|point|telescope,tripod|soup club,cafe|ocean,respected|decision,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_08,misdirection_answer,Question: What did the invoice say to the calendar?,We need to talk about our due dates.,Invoices and calendars are documents.,The invoice folded into a small compass.,The staple became a tiny DJ.,The payment schedule became clear.,invoice|calendar,due dates,due dates|invoice|calendar,staple|dj,compass|folded,clear|schedule|payment,v2 authored setup with matched joke/literal/surprise/silly/positive endings
misdirection_answer_09,misdirection_answer,Question: Why did the graph bring a jacket?,It expected a sudden drop.,A graph can show changes in values.,The axes turned into a train platform.,The legend wore tap shoes.,The presentation was useful.,graph|jacket,drop,drop|graph|jacket,legend|tap shoes,axes|train platform,useful|presentation,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_00,analogy_reframe,Kai said debugging the app felt like finding crumbs in a library.,"Every clue was small, but the trail still had bookmarks.",Kai meant debugging required careful investigation.,The library shelves started raining buttons.,A bookmark demanded a tiny parade.,The team appreciated the patient work.,debugging|crumbs|library,bookmarks,clue|trail|bookmarks,bookmark|parade,shelves|buttons,appreciated|patient|team,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_01,analogy_reframe,The coach said planning a launch was like packing a parachute.,You only learn about the shortcuts after the landing.,The coach meant preparation matters before a launch.,The parachute turned into a receipt printer.,A helmet debated soup with a shoelace.,The launch plan became clearer.,launch|parachute|planning,landing,shortcuts|landing|parachute,helmet|shoelace|soup,receipt printer,clearer|plan|launch,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_02,analogy_reframe,Mina said writing release notes was like hosting a tiny museum.,Every bug fix wanted its own display case.,Mina meant each change needed explanation.,The display case opened onto a beach.,A ticket stub taught a stapler to yodel.,The notes helped users.,release notes|museum|bug fix,display case,bug fix|display case|museum,ticket stub|yodel,beach|opened,helped|users|notes,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_03,analogy_reframe,The doctor said triage was like sorting mail in a storm.,The urgent letters kept arriving with thunder stamps.,The doctor meant urgent cases must be prioritized.,The mailbox began predicting earthquakes.,An envelope wore a crown made of noodles.,The process kept patients safer.,triage|mail|storm,thunder stamps,urgent|letters|stamps,envelope|crown|noodles,earthquakes|mailbox,safer|patients|process,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_04,analogy_reframe,The teacher said learning fractions was like sharing pizza with algebra.,At least the slices came with variables for toppings.,The teacher meant fractions and algebra can connect.,The pizza box displayed a map to Jupiter.,A crust appointed itself principal.,The class found the lesson helpful.,fractions|pizza|algebra,variables,variables|slices|toppings,crust|principal,jupiter|map,helpful|class|lesson,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_05,analogy_reframe,The lawyer said reading the contract was like crossing a river on commas.,One misplaced comma and everyone gets wet.,The lawyer meant punctuation can affect meaning.,The river started listing court dates.,A semicolon rode a rubber duck.,The review prevented confusion.,contract|river|commas,misplaced comma,comma|wet|contract,semicolon|rubber duck,river|court dates,prevented|confusion|review,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_06,analogy_reframe,The designer said choosing fonts was like arranging chairs for letters.,Some letters kept asking for more personal space.,The designer meant font spacing affects readability.,The chairs formed a weather satellite.,A letter Q wore roller skates.,The layout looked cleaner.,fonts|chairs|letters,space,letters|space|fonts,letter q|roller skates,weather satellite,cleaner|layout,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_07,analogy_reframe,The analyst said cleaning data was like washing windows in a spreadsheet.,The smudges were all in column C.,The analyst meant errors had to be removed from data.,The windows showed tomorrow's meeting notes.,A row number adopted a spoon.,The chart became easier to trust.,cleaning data|windows|spreadsheet,column C,smudges|column c|spreadsheet,row number|spoon,tomorrow|meeting notes,trust|chart,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_08,analogy_reframe,The nurse said documenting symptoms was like drawing a map in pencil.,"You need enough detail, but the route may still change.",The nurse meant notes should be clear but revisable.,The pencil projected a train schedule.,A map pin requested soup at dawn.,The documentation supported better care.,symptoms|map|pencil,route,route|detail|pencil,map pin|soup,train schedule|pencil,better care|documentation,v2 authored setup with matched joke/literal/surprise/silly/positive endings
analogy_reframe_09,analogy_reframe,The engineer said dependency management was like seating relatives at a wedding.,One version conflict and the whole table gets tense.,The engineer meant software versions must be coordinated.,The seating chart turned into a tide table.,A cousin variable juggled pancakes.,The build became stable.,dependencies|wedding|version,version conflict,version conflict|table|dependencies,pancakes|juggled,tide table|chart,stable|build,v2 authored setup with matched joke/literal/surprise/silly/positive endings
understatement_irony_00,understatement_irony,The intern accidentally sent the test email to the whole company.,"On the bright side, the subject line got excellent distribution.",The email was sent to more recipients than intended.,The inboxes began playing a shared lullaby.,A paperclip put on a tiny helmet.,The team fixed the mailing list and moved on.,test email|company|subject,distribution,distribution|subject line|email,paperclip|helmet,inboxes|lullaby,fixed|moved on|team,v2 authored setup with matched joke/literal/surprise/silly/positive endings
understatement_irony_01,understatement_irony,The demo crashed exactly when the investor asked about reliability.,The timing department has achieved perfect alignment.,The software failed during an important question.,The projector showed a recipe for rain.,The cursor started tap dancing.,The team recovered and answered clearly.,demo|crashed|reliability,timing,timing|alignment|crashed,cursor|tap dancing,projector|rain recipe,recovered|clearly|team,v2 authored setup with matched joke/literal/surprise/silly/positive endings
