example_id,category,prompt,target,distractor,note
rel_category_member_beagle,fact,A beagle is a breed of, dog, bird,relation=category_member; easy_distractor=four
rel_category_member_sparrow,fact,A sparrow is a kind of, bird, fish,relation=category_member; easy_distractor=four
rel_category_member_copper,fact,Copper is a kind of, metal, stone,relation=category_member; easy_distractor=four
rel_category_member_carrot,fact,A carrot is a kind of, vegetable, fruit,relation=category_member; easy_distractor=four
rel_category_member_cobra,fact,A cobra is a kind of, snake, insect,relation=category_member; easy_distractor=four
rel_category_member_apple,fact,An apple is a kind of, fruit, vegetable,relation=category_member; easy_distractor=four
rel_category_member_wasp,fact,A wasp is a kind of, insect, bird,relation=category_member; easy_distractor=four
rel_counting_two_plus_two,fact,Two plus two equals, four, five,relation=counting; easy_distractor=heart
rel_counting_week_days,fact,The number of days in a week is, seven, six,relation=counting; easy_distractor=heart
rel_counting_spider_legs,fact,The number of legs on a spider is, eight, six,relation=counting; easy_distractor=heart
rel_counting_triangle,fact,The number of sides of a triangle is, three, four,relation=counting; easy_distractor=heart
rel_counting_insect_legs,fact,The number of legs on an insect is, six, eight,relation=counting; easy_distractor=heart
rel_counting_five_plus_five,fact,Five plus five equals, ten, nine,relation=counting; easy_distractor=heart
rel_counting_dozen_half,fact,A dozen divided by two is, six, four,relation=counting; easy_distractor=heart
rel_counting_year_months,fact,The number of months in a year is, twelve, ten,relation=counting; easy_distractor=heart
rel_body_heart,fact,The organ that pumps blood is the, heart, brain,relation=body; easy_distractor=desert
rel_body_ears,fact,You hear with your, ears, eyes,relation=body; easy_distractor=desert
rel_body_eyes,fact,You see with your, eyes, ears,relation=body; easy_distractor=desert
rel_body_nose,fact,You smell with your, nose, tongue,relation=body; easy_distractor=desert
rel_body_stomach,fact,Food is digested mainly in the, stomach, heart,relation=body; easy_distractor=desert
rel_body_brain,fact,The organ you think with is the, brain, heart,relation=body; easy_distractor=desert
rel_body_bones,fact,Your skeleton is made of, bones, skin,relation=body; easy_distractor=desert
rel_body_tongue,fact,You taste with your, tongue, nose,relation=body; easy_distractor=desert
rel_profession_tool_carpenter,fact,A carpenter drives nails with a, hammer, saw,relation=profession_tool; easy_distractor=happy
rel_profession_tool_painter,fact,A painter applies paint with a, brush, pen,relation=profession_tool; easy_distractor=happy
rel_profession_tool_chef,fact,A chef chops vegetables with a, knife, saw,relation=profession_tool; easy_distractor=happy
rel_profession_tool_tailor,fact,A tailor sews with a, needle, pen,relation=profession_tool; easy_distractor=happy
rel_profession_tool_plumber,fact,A plumber tightens pipes with a, wrench, hammer,relation=profession_tool; easy_distractor=happy
rel_profession_tool_writer,fact,A writer signs letters with a, pen, brush,relation=profession_tool; easy_distractor=happy
rel_profession_tool_gardener,fact,A gardener digs holes with a, shovel, knife,relation=profession_tool; easy_distractor=happy
rel_sequence_monday,fact,The day after Monday is, Tuesday, Friday,relation=sequence; easy_distractor=wood
rel_sequence_tuesday,fact,The day after Tuesday is, Wednesday, Monday,relation=sequence; easy_distractor=wood
rel_sequence_thursday,fact,The day after Thursday is, Friday, Sunday,relation=sequence; easy_distractor=wood
rel_sequence_february,fact,The month after February is, March, January,relation=sequence; easy_distractor=wood
rel_sequence_december,fact,The month after December is, January, March,relation=sequence; easy_distractor=wood
rel_sequence_winter,fact,The season after winter is, spring, autumn,relation=sequence; easy_distractor=wood
rel_sequence_summer,fact,The season after summer is, autumn, winter,relation=sequence; easy_distractor=wood
rel_sequence_friday,fact,The first day of the weekend is, Saturday, Sunday,relation=sequence; easy_distractor=wood; near_tie=1 (two plausible answers by design)
rel_material_paper,fact,Paper is made from, wood, cotton,relation=material; easy_distractor=French
rel_material_wine,fact,Wine is made from, grapes, milk,relation=material; easy_distractor=French
rel_material_cheese,fact,Cheese is made from, milk, wood,relation=material; easy_distractor=French
rel_material_glass,fact,Glass is made from, sand, clay,relation=material; easy_distractor=French
rel_material_sweater,fact,Sweaters are often knitted from, wool, cotton,relation=material; easy_distractor=French
rel_material_tshirt,fact,T-shirts are usually made of, cotton, leather,relation=material; easy_distractor=French
rel_material_bricks,fact,Bricks are made from, clay, sand,relation=material; easy_distractor=French
rel_material_shoes,fact,Dress shoes are often made of, leather, rubber,relation=material; easy_distractor=French
rel_material_tires,fact,Car tires are made of, rubber, leather,relation=material; easy_distractor=French
rel_habitat_camel,fact,A camel lives in the, desert, jungle,relation=habitat; easy_distractor=cold
rel_habitat_whale,fact,A whale lives in the, ocean, forest,relation=habitat; easy_distractor=cold
rel_habitat_penguin,fact,A penguin lives on the, ice, sand,relation=habitat; easy_distractor=cold
rel_habitat_monkey,fact,A monkey lives in the, jungle, desert,relation=habitat; easy_distractor=cold
rel_habitat_owl,fact,An owl lives in the, forest, ocean,relation=habitat; easy_distractor=cold
rel_habitat_bat,fact,A bat sleeps in a, cave, nest,relation=habitat; easy_distractor=cold
rel_habitat_bee,fact,A bee lives in a, hive, nest,relation=habitat; easy_distractor=cold
rel_habitat_bird,fact,A bird lays eggs in a, nest, hive,relation=habitat; easy_distractor=cold
rel_habitat_frog,fact,A frog lives near a, pond, cave,relation=habitat; easy_distractor=cold
rel_emotion_outcome_prize,fact,Winning a big prize makes most people feel, happy, proud,relation=emotion_outcome; easy_distractor=fish; near_tie=1 (two plausible answers by design)
rel_emotion_outcome_pet,fact,Losing a beloved pet makes most people feel, sad, angry,relation=emotion_outcome; easy_distractor=fish
rel_emotion_outcome_cheated,fact,Being cheated by a close friend makes most people feel, angry, sad,relation=emotion_outcome; easy_distractor=fish; near_tie=1 (two plausible answers by design)
rel_emotion_outcome_dark,fact,Walking alone in the dark makes many people feel, scared, tired,relation=emotion_outcome; easy_distractor=fish
rel_emotion_outcome_marathon,fact,Finishing a marathon makes most runners feel, proud, tired,relation=emotion_outcome; easy_distractor=fish; near_tie=1 (two plausible answers by design)
rel_emotion_outcome_new_city,fact,Moving to a new city with no friends can make a person feel, lonely, bored,relation=emotion_outcome; easy_distractor=fish
rel_emotion_outcome_queue,fact,"Waiting in a long, slow line makes most people feel", bored, angry,relation=emotion_outcome; easy_distractor=fish; near_tie=1 (two plausible answers by design)
rel_emotion_outcome_speech,fact,Speaking in front of a huge crowd makes many people feel, nervous, calm,relation=emotion_outcome; easy_distractor=fish
rel_emotion_outcome_birthday,fact,Forgetting a close friend's birthday makes most people feel, guilty, embarrassed,relation=emotion_outcome; easy_distractor=fish; near_tie=1 (two plausible answers by design)
rel_emotion_outcome_canceled,fact,Hearing the exam was canceled made the students feel, relieved, happy,relation=emotion_outcome; easy_distractor=fish; near_tie=1 (two plausible answers by design)
