example_id,category,prompt,target,distractor,note
rel_country_language_egypt_hard,fact,"In Egypt, most people speak", Arabic, Greek,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_egypt_easy,fact,"In Egypt, most people speak", Arabic, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_country_language_brazil_hard,fact,"In Brazil, most people speak", Portuguese, Spanish,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_brazil_easy,fact,"In Brazil, most people speak", Portuguese, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_country_language_greece_hard,fact,The official language of Greece is, Greek, Italian,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_greece_easy,fact,The official language of Greece is, Greek, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_country_language_korea_hard,fact,"In South Korea, most people speak", Korean, Japanese,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_korea_easy,fact,"In South Korea, most people speak", Korean, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_antonym_hot_hard,relation,The opposite of hot is, cold, cool,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_hot_easy,relation,The opposite of hot is, cold, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_antonym_big_hard,relation,The opposite of big is, small, short,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_big_easy,relation,The opposite of big is, small, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_antonym_fast_hard,relation,The opposite of fast is, slow, still,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_fast_easy,relation,The opposite of fast is, slow, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_antonym_light_hard,relation,The opposite of light is, dark, dim,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_light_easy,relation,The opposite of light is, dark, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_antonym_up_hard,relation,The opposite of up is, down, low,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_up_easy,relation,The opposite of up is, down, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_antonym_happy_hard,relation,The opposite of happy is, sad, angry,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_happy_easy,relation,The opposite of happy is, sad, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_antonym_loud_hard,relation,The opposite of loud is, quiet, soft,relation=antonym; near_tie=1; distractor_class=same (instance discrimination)
rel_antonym_loud_easy,relation,The opposite of loud is, quiet, Paris,relation=antonym; near_tie=1; distractor_class=cross (class discrimination)
rel_antonym_hard_hard,relation,The opposite of hard is, soft, smooth,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_hard_easy,relation,The opposite of hard is, soft, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_antonym_wet_hard,relation,The opposite of wet is, dry, cold,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_wet_easy,relation,The opposite of wet is, dry, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_antonym_strong_hard,relation,The opposite of strong is, weak, small,relation=antonym; distractor_class=same (instance discrimination)
rel_antonym_strong_easy,relation,The opposite of strong is, weak, Paris,relation=antonym; distractor_class=cross (class discrimination)
rel_object_color_sky_hard,fact,"On a clear day, the sky is", blue, gray,relation=object_color; distractor_class=same (instance discrimination)
rel_object_color_sky_easy,fact,"On a clear day, the sky is", blue, Tuesday,relation=object_color; distractor_class=cross (class discrimination)
rel_object_color_grass_hard,fact,Healthy summer grass is, green, yellow,relation=object_color; distractor_class=same (instance discrimination)
rel_object_color_grass_easy,fact,Healthy summer grass is, green, Tuesday,relation=object_color; distractor_class=cross (class discrimination)
rel_object_color_snow_hard,fact,Freshly fallen snow is, white, blue,relation=object_color; distractor_class=same (instance discrimination)
rel_object_color_snow_easy,fact,Freshly fallen snow is, white, Tuesday,relation=object_color; distractor_class=cross (class discrimination)
rel_object_color_blood_hard,fact,The color of blood is, red, brown,relation=object_color; distractor_class=same (instance discrimination)
rel_object_color_blood_easy,fact,The color of blood is, red, Tuesday,relation=object_color; distractor_class=cross (class discrimination)
rel_object_color_coal_hard,fact,The color of coal is, black, gray,relation=object_color; distractor_class=same (instance discrimination)
rel_object_color_coal_easy,fact,The color of coal is, black, Tuesday,relation=object_color; distractor_class=cross (class discrimination)
rel_object_color_banana_hard,fact,A ripe banana is, yellow, green,relation=object_color; distractor_class=same (instance discrimination)
rel_object_color_banana_easy,fact,A ripe banana is, yellow, Tuesday,relation=object_color; distractor_class=cross (class discrimination)
rel_object_color_milk_hard,fact,The color of fresh milk is, white, yellow,relation=object_color; distractor_class=same (instance discrimination)
rel_object_color_milk_easy,fact,The color of fresh milk is, white, Tuesday,relation=object_color; distractor_class=cross (class discrimination)
rel_object_color_night_hard,fact,"At midnight, the cloudless sky looks", black, blue,relation=object_color; near_tie=1; distractor_class=same (instance discrimination)
rel_object_color_night_easy,fact,"At midnight, the cloudless sky looks", black, Tuesday,relation=object_color; near_tie=1; distractor_class=cross (class discrimination)
rel_category_member_salmon_hard,fact,A salmon is a kind of, fish, snake,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_salmon_easy,fact,A salmon is a kind of, fish, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_oak_hard,fact,An oak is a kind of, tree, flower,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_oak_easy,fact,An oak is a kind of, tree, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_rose_hard,fact,A rose is a kind of, flower, tree,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_rose_easy,fact,A rose is a kind of, flower, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_beagle_hard,fact,A beagle is a breed of, dog, bird,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_beagle_easy,fact,A beagle is a breed of, dog, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_sparrow_hard,fact,A sparrow is a kind of, bird, fish,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_sparrow_easy,fact,A sparrow is a kind of, bird, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_copper_hard,fact,Copper is a kind of, metal, stone,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_copper_easy,fact,Copper is a kind of, metal, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_carrot_hard,fact,A carrot is a kind of, vegetable, fruit,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_carrot_easy,fact,A carrot is a kind of, vegetable, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_cobra_hard,fact,A cobra is a kind of, snake, insect,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_cobra_easy,fact,A cobra is a kind of, snake, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_apple_hard,fact,An apple is a kind of, fruit, vegetable,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_apple_easy,fact,An apple is a kind of, fruit, four,relation=category_member; distractor_class=cross (class discrimination)
rel_category_member_wasp_hard,fact,A wasp is a kind of, insect, bird,relation=category_member; distractor_class=same (instance discrimination)
rel_category_member_wasp_easy,fact,A wasp is a kind of, insect, four,relation=category_member; distractor_class=cross (class discrimination)
rel_counting_two_plus_two_hard,fact,Two plus two equals, four, five,relation=counting; distractor_class=same (instance discrimination)
rel_counting_two_plus_two_easy,fact,Two plus two equals, four, heart,relation=counting; distractor_class=cross (class discrimination)
rel_counting_week_days_hard,fact,The number of days in a week is, seven, six,relation=counting; distractor_class=same (instance discrimination)
rel_counting_week_days_easy,fact,The number of days in a week is, seven, heart,relation=counting; distractor_class=cross (class discrimination)
rel_counting_spider_legs_hard,fact,The number of legs on a spider is, eight, six,relation=counting; distractor_class=same (instance discrimination)
rel_counting_spider_legs_easy,fact,The number of legs on a spider is, eight, heart,relation=counting; distractor_class=cross (class discrimination)
rel_counting_triangle_hard,fact,The number of sides of a triangle is, three, four,relation=counting; distractor_class=same (instance discrimination)
rel_counting_triangle_easy,fact,The number of sides of a triangle is, three, heart,relation=counting; distractor_class=cross (class discrimination)
rel_counting_insect_legs_hard,fact,The number of legs on an insect is, six, eight,relation=counting; distractor_class=same (instance discrimination)
rel_counting_insect_legs_easy,fact,The number of legs on an insect is, six, heart,relation=counting; distractor_class=cross (class discrimination)
rel_counting_five_plus_five_hard,fact,Five plus five equals, ten, nine,relation=counting; distractor_class=same (instance discrimination)
rel_counting_five_plus_five_easy,fact,Five plus five equals, ten, heart,relation=counting; distractor_class=cross (class discrimination)
rel_counting_dozen_half_hard,fact,A dozen divided by two is, six, four,relation=counting; distractor_class=same (instance discrimination)
rel_counting_dozen_half_easy,fact,A dozen divided by two is, six, heart,relation=counting; distractor_class=cross (class discrimination)
rel_counting_year_months_hard,fact,The number of months in a year is, twelve, ten,relation=counting; distractor_class=same (instance discrimination)
rel_counting_year_months_easy,fact,The number of months in a year is, twelve, heart,relation=counting; distractor_class=cross (class discrimination)
rel_body_heart_hard,fact,The organ that pumps blood is the, heart, brain,relation=body; distractor_class=same (instance discrimination)
rel_body_heart_easy,fact,The organ that pumps blood is the, heart, desert,relation=body; distractor_class=cross (class discrimination)
rel_body_ears_hard,fact,You hear with your, ears, eyes,relation=body; distractor_class=same (instance discrimination)
rel_body_ears_easy,fact,You hear with your, ears, desert,relation=body; distractor_class=cross (class discrimination)
rel_body_eyes_hard,fact,You see with your, eyes, ears,relation=body; distractor_class=same (instance discrimination)
rel_body_eyes_easy,fact,You see with your, eyes, desert,relation=body; distractor_class=cross (class discrimination)
rel_body_nose_hard,fact,You smell with your, nose, tongue,relation=body; distractor_class=same (instance discrimination)
rel_body_nose_easy,fact,You smell with your, nose, desert,relation=body; distractor_class=cross (class discrimination)
rel_body_stomach_hard,fact,Food is digested mainly in the, stomach, heart,relation=body; distractor_class=same (instance discrimination)
rel_body_stomach_easy,fact,Food is digested mainly in the, stomach, desert,relation=body; distractor_class=cross (class discrimination)
rel_body_brain_hard,fact,The organ you think with is the, brain, heart,relation=body; distractor_class=same (instance discrimination)
rel_body_brain_easy,fact,The organ you think with is the, brain, desert,relation=body; distractor_class=cross (class discrimination)
rel_body_bones_hard,fact,Your skeleton is made of, bones, skin,relation=body; distractor_class=same (instance discrimination)
rel_body_bones_easy,fact,Your skeleton is made of, bones, desert,relation=body; distractor_class=cross (class discrimination)
rel_body_tongue_hard,fact,You taste with your, tongue, nose,relation=body; distractor_class=same (instance discrimination)
rel_body_tongue_easy,fact,You taste with your, tongue, desert,relation=body; distractor_class=cross (class discrimination)
rel_profession_tool_carpenter_hard,fact,A carpenter drives nails with a, hammer, saw,relation=profession_tool; distractor_class=same (instance discrimination)
rel_profession_tool_carpenter_easy,fact,A carpenter drives nails with a, hammer, happy,relation=profession_tool; distractor_class=cross (class discrimination)
rel_profession_tool_painter_hard,fact,A painter applies paint with a, brush, pen,relation=profession_tool; distractor_class=same (instance discrimination)
rel_profession_tool_painter_easy,fact,A painter applies paint with a, brush, happy,relation=profession_tool; distractor_class=cross (class discrimination)
rel_profession_tool_chef_hard,fact,A chef chops vegetables with a, knife, saw,relation=profession_tool; distractor_class=same (instance discrimination)
rel_profession_tool_chef_easy,fact,A chef chops vegetables with a, knife, happy,relation=profession_tool; distractor_class=cross (class discrimination)
rel_profession_tool_tailor_hard,fact,A tailor sews with a, needle, pen,relation=profession_tool; distractor_class=same (instance discrimination)
rel_profession_tool_tailor_easy,fact,A tailor sews with a, needle, happy,relation=profession_tool; distractor_class=cross (class discrimination)
rel_profession_tool_plumber_hard,fact,A plumber tightens pipes with a, wrench, hammer,relation=profession_tool; distractor_class=same (instance discrimination)
rel_profession_tool_plumber_easy,fact,A plumber tightens pipes with a, wrench, happy,relation=profession_tool; distractor_class=cross (class discrimination)
rel_profession_tool_writer_hard,fact,A writer signs letters with a, pen, brush,relation=profession_tool; distractor_class=same (instance discrimination)
rel_profession_tool_writer_easy,fact,A writer signs letters with a, pen, happy,relation=profession_tool; distractor_class=cross (class discrimination)
rel_profession_tool_gardener_hard,fact,A gardener digs holes with a, shovel, knife,relation=profession_tool; distractor_class=same (instance discrimination)
rel_profession_tool_gardener_easy,fact,A gardener digs holes with a, shovel, happy,relation=profession_tool; distractor_class=cross (class discrimination)
rel_sequence_monday_hard,fact,The day after Monday is, Tuesday, Friday,relation=sequence; distractor_class=same (instance discrimination)
rel_sequence_monday_easy,fact,The day after Monday is, Tuesday, wood,relation=sequence; distractor_class=cross (class discrimination)
rel_sequence_tuesday_hard,fact,The day after Tuesday is, Wednesday, Monday,relation=sequence; distractor_class=same (instance discrimination)
rel_sequence_tuesday_easy,fact,The day after Tuesday is, Wednesday, wood,relation=sequence; distractor_class=cross (class discrimination)
rel_sequence_thursday_hard,fact,The day after Thursday is, Friday, Sunday,relation=sequence; distractor_class=same (instance discrimination)
rel_sequence_thursday_easy,fact,The day after Thursday is, Friday, wood,relation=sequence; distractor_class=cross (class discrimination)
rel_sequence_february_hard,fact,The month after February is, March, January,relation=sequence; distractor_class=same (instance discrimination)
rel_sequence_february_easy,fact,The month after February is, March, wood,relation=sequence; distractor_class=cross (class discrimination)
rel_sequence_december_hard,fact,The month after December is, January, March,relation=sequence; distractor_class=same (instance discrimination)
rel_sequence_december_easy,fact,The month after December is, January, wood,relation=sequence; distractor_class=cross (class discrimination)
rel_sequence_winter_hard,fact,The season after winter is, spring, autumn,relation=sequence; distractor_class=same (instance discrimination)
rel_sequence_winter_easy,fact,The season after winter is, spring, wood,relation=sequence; distractor_class=cross (class discrimination)
rel_sequence_summer_hard,fact,The season after summer is, autumn, winter,relation=sequence; distractor_class=same (instance discrimination)
rel_sequence_summer_easy,fact,The season after summer is, autumn, wood,relation=sequence; distractor_class=cross (class discrimination)
rel_sequence_friday_hard,fact,The first day of the weekend is, Saturday, Sunday,relation=sequence; near_tie=1; distractor_class=same (instance discrimination)
rel_sequence_friday_easy,fact,The first day of the weekend is, Saturday, wood,relation=sequence; near_tie=1; distractor_class=cross (class discrimination)
rel_material_paper_hard,fact,Paper is made from, wood, cotton,relation=material; distractor_class=same (instance discrimination)
rel_material_paper_easy,fact,Paper is made from, wood, French,relation=material; distractor_class=cross (class discrimination)
rel_material_wine_hard,fact,Wine is made from, grapes, milk,relation=material; distractor_class=same (instance discrimination)
rel_material_wine_easy,fact,Wine is made from, grapes, French,relation=material; distractor_class=cross (class discrimination)
rel_material_cheese_hard,fact,Cheese is made from, milk, wood,relation=material; distractor_class=same (instance discrimination)
rel_material_cheese_easy,fact,Cheese is made from, milk, French,relation=material; distractor_class=cross (class discrimination)
rel_material_glass_hard,fact,Glass is made from, sand, clay,relation=material; distractor_class=same (instance discrimination)
rel_material_glass_easy,fact,Glass is made from, sand, French,relation=material; distractor_class=cross (class discrimination)
rel_material_sweater_hard,fact,Sweaters are often knitted from, wool, cotton,relation=material; distractor_class=same (instance discrimination)
rel_material_sweater_easy,fact,Sweaters are often knitted from, wool, French,relation=material; distractor_class=cross (class discrimination)
rel_material_tshirt_hard,fact,T-shirts are usually made of, cotton, leather,relation=material; distractor_class=same (instance discrimination)
rel_material_tshirt_easy,fact,T-shirts are usually made of, cotton, French,relation=material; distractor_class=cross (class discrimination)
rel_material_bricks_hard,fact,Bricks are made from, clay, sand,relation=material; distractor_class=same (instance discrimination)
rel_material_bricks_easy,fact,Bricks are made from, clay, French,relation=material; distractor_class=cross (class discrimination)
rel_material_shoes_hard,fact,Dress shoes are often made of, leather, rubber,relation=material; distractor_class=same (instance discrimination)
rel_material_shoes_easy,fact,Dress shoes are often made of, leather, French,relation=material; distractor_class=cross (class discrimination)
rel_material_tires_hard,fact,Car tires are made of, rubber, leather,relation=material; distractor_class=same (instance discrimination)
rel_material_tires_easy,fact,Car tires are made of, rubber, French,relation=material; distractor_class=cross (class discrimination)
rel_habitat_camel_hard,fact,A camel lives in the, desert, jungle,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_camel_easy,fact,A camel lives in the, desert, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_habitat_whale_hard,fact,A whale lives in the, ocean, forest,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_whale_easy,fact,A whale lives in the, ocean, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_habitat_penguin_hard,fact,A penguin lives on the, ice, sand,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_penguin_easy,fact,A penguin lives on the, ice, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_habitat_monkey_hard,fact,A monkey lives in the, jungle, desert,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_monkey_easy,fact,A monkey lives in the, jungle, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_habitat_owl_hard,fact,An owl lives in the, forest, ocean,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_owl_easy,fact,An owl lives in the, forest, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_habitat_bat_hard,fact,A bat sleeps in a, cave, nest,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_bat_easy,fact,A bat sleeps in a, cave, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_habitat_bee_hard,fact,A bee lives in a, hive, nest,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_bee_easy,fact,A bee lives in a, hive, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_habitat_bird_hard,fact,A bird lays eggs in a, nest, hive,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_bird_easy,fact,A bird lays eggs in a, nest, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_habitat_frog_hard,fact,A frog lives near a, pond, cave,relation=habitat; distractor_class=same (instance discrimination)
rel_habitat_frog_easy,fact,A frog lives near a, pond, cold,relation=habitat; distractor_class=cross (class discrimination)
rel_emotion_outcome_prize_hard,fact,Winning a big prize makes most people feel, happy, proud,relation=emotion_outcome; near_tie=1; distractor_class=same (instance discrimination)
rel_emotion_outcome_prize_easy,fact,Winning a big prize makes most people feel, happy, fish,relation=emotion_outcome; near_tie=1; distractor_class=cross (class discrimination)
rel_emotion_outcome_pet_hard,fact,Losing a beloved pet makes most people feel, sad, angry,relation=emotion_outcome; distractor_class=same (instance discrimination)
rel_emotion_outcome_pet_easy,fact,Losing a beloved pet makes most people feel, sad, fish,relation=emotion_outcome; distractor_class=cross (class discrimination)
rel_emotion_outcome_cheated_hard,fact,Being cheated by a close friend makes most people feel, angry, sad,relation=emotion_outcome; near_tie=1; distractor_class=same (instance discrimination)
rel_emotion_outcome_cheated_easy,fact,Being cheated by a close friend makes most people feel, angry, fish,relation=emotion_outcome; near_tie=1; distractor_class=cross (class discrimination)
rel_emotion_outcome_dark_hard,fact,Walking alone in the dark makes many people feel, scared, tired,relation=emotion_outcome; distractor_class=same (instance discrimination)
rel_emotion_outcome_dark_easy,fact,Walking alone in the dark makes many people feel, scared, fish,relation=emotion_outcome; distractor_class=cross (class discrimination)
rel_emotion_outcome_marathon_hard,fact,Finishing a marathon makes most runners feel, proud, tired,relation=emotion_outcome; near_tie=1; distractor_class=same (instance discrimination)
rel_emotion_outcome_marathon_easy,fact,Finishing a marathon makes most runners feel, proud, fish,relation=emotion_outcome; near_tie=1; distractor_class=cross (class discrimination)
rel_emotion_outcome_new_city_hard,fact,Moving to a new city with no friends can make a person feel, lonely, bored,relation=emotion_outcome; distractor_class=same (instance discrimination)
rel_emotion_outcome_new_city_easy,fact,Moving to a new city with no friends can make a person feel, lonely, fish,relation=emotion_outcome; distractor_class=cross (class discrimination)
rel_emotion_outcome_queue_hard,fact,"Waiting in a long, slow line makes most people feel", bored, angry,relation=emotion_outcome; near_tie=1; distractor_class=same (instance discrimination)
rel_emotion_outcome_queue_easy,fact,"Waiting in a long, slow line makes most people feel", bored, fish,relation=emotion_outcome; near_tie=1; distractor_class=cross (class discrimination)
rel_emotion_outcome_speech_hard,fact,Speaking in front of a huge crowd makes many people feel, nervous, calm,relation=emotion_outcome; distractor_class=same (instance discrimination)
rel_emotion_outcome_speech_easy,fact,Speaking in front of a huge crowd makes many people feel, nervous, fish,relation=emotion_outcome; distractor_class=cross (class discrimination)
rel_emotion_outcome_birthday_hard,fact,Forgetting a close friend's birthday makes most people feel, guilty, embarrassed,relation=emotion_outcome; near_tie=1; distractor_class=same (instance discrimination)
rel_emotion_outcome_birthday_easy,fact,Forgetting a close friend's birthday makes most people feel, guilty, fish,relation=emotion_outcome; near_tie=1; distractor_class=cross (class discrimination)
rel_emotion_outcome_canceled_hard,fact,Hearing the exam was canceled made the students feel, relieved, happy,relation=emotion_outcome; near_tie=1; distractor_class=same (instance discrimination)
rel_emotion_outcome_canceled_easy,fact,Hearing the exam was canceled made the students feel, relieved, fish,relation=emotion_outcome; near_tie=1; distractor_class=cross (class discrimination)
