row_id,domain,family,split,text,hard_negative_group,lexical_markers,notes
V3_0015,chemistry,chemistry,train,Enzymes are biological catalysts that accelerate metabolic reactions.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0016,chemistry,chemistry,train,The gas expanded to fill the flask as the temperature climbed.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0017,chemistry,chemistry,dev,A catalyst speeds up the reaction rate without shifting the equilibrium.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0018,chemistry,chemistry,dev,The solution turned blue when the indicator detected excess base.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0019,chemistry,chemistry,test,Electrolysis splits water into hydrogen and oxygen gas at the electrodes.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0020,chemistry,chemistry,test,The polymer chain grew longer as monomers linked during the reaction.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0021,chemistry,chemistry,train,A strong base accepts protons readily in aqueous solution.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0022,chemistry,chemistry,train,The titration curve showed a sharp equivalence point for the strong acid.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0023,chemistry,chemistry,train,Redox reactions involve the transfer of electrons between species.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0024,chemistry,chemistry,train,The solubility product constant governs the precipitation of salts.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0025,chemistry,chemistry,train,Spectroscopy identifies functional groups by their characteristic absorption peaks.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0026,chemistry,chemistry,train,Le Chatelier's principle predicts the shift when a system at equilibrium is stressed.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0027,chemistry,chemistry,dev,The half-life of the isotope determines how quickly it decays.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0028,chemistry,chemistry,dev,"The strong acid donated a proton to the base, forming a salt and water. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0029,chemistry,chemistry,test,"Titrating the solution to its equivalence point turned the indicator pink. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0030,chemistry,chemistry,test,"Oxidation strips electrons from the metal while the cathode is reduced. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0031,chemistry,chemistry,train,"A buffer resists changes in pH when small amounts of acid are added. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0032,chemistry,chemistry,train,"The reaction was exothermic, releasing heat as the bonds reorganized. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0033,chemistry,chemistry,train,"Sodium chloride dissolves into its constituent ions in aqueous solution. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0034,chemistry,chemistry,train,"Catalysts lower the activation energy without being consumed themselves. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0035,chemistry,chemistry,train,"The molar mass determines how many grams make up one mole of the compound. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0036,chemistry,chemistry,train,"Electrons fill orbitals from the lowest available energy level upward. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0037,chemistry,chemistry,dev,"Distillation separates the mixture by exploiting differences in boiling point. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0038,chemistry,chemistry,dev,"The precipitate formed the moment the two clear solutions were combined. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0039,chemistry,chemistry,test,"Covalent bonds share electron pairs between adjacent nonmetal atoms. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0040,chemistry,chemistry,test,"Increasing the concentration of reactants shifts the equilibrium forward. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0041,chemistry,chemistry,train,"The pH meter read 2.1, confirming the sample was strongly acidic. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0042,chemistry,chemistry,train,"Enzymes are biological catalysts that accelerate metabolic reactions. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0043,chemistry,chemistry,train,"The gas expanded to fill the flask as the temperature climbed. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0044,chemistry,chemistry,train,"A catalyst speeds up the reaction rate without shifting the equilibrium. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0045,chemistry,chemistry,train,"The solution turned blue when the indicator detected excess base. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0046,chemistry,chemistry,train,"Electrolysis splits water into hydrogen and oxygen gas at the electrodes. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0047,chemistry,chemistry,dev,"The polymer chain grew longer as monomers linked during the reaction. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0048,chemistry,chemistry,dev,"A strong base accepts protons readily in aqueous solution. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0049,chemistry,chemistry,test,"The titration curve showed a sharp equivalence point for the strong acid. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0050,chemistry,chemistry,test,"Redox reactions involve the transfer of electrons between species. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0051,chemistry,chemistry,train,"The solubility product constant governs the precipitation of salts. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0052,chemistry,chemistry,train,"Spectroscopy identifies functional groups by their characteristic absorption peaks. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0053,chemistry,chemistry,train,"Le Chatelier's principle predicts the shift when a system at equilibrium is stressed. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0054,chemistry,chemistry,train,"The half-life of the isotope determines how quickly it decays. The passage uses the term in a laboratory mechanism, not as a culinary metaphor.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain paragraph variant
V3_0055,chemistry,chemistry,train,"In a paragraph about chemistry, the key detail is this: The strong acid donated a proton to the base, forming a salt and water. The passage uses the term in a laboratory mechanism, not as a culinary metaphor. A hard negative should share a few words but change the underlying topic.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain expanded paragraph with confusable guidance
V3_0056,chemistry,chemistry,train,"In a paragraph about chemistry, the key detail is this: Titrating the solution to its equivalence point turned the indicator pink. The passage uses the term in a laboratory mechanism, not as a culinary metaphor. A hard negative should share a few words but change the underlying topic.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain expanded paragraph with confusable guidance
V3_0057,chemistry,chemistry,dev,"In a paragraph about chemistry, the key detail is this: Oxidation strips electrons from the metal while the cathode is reduced. The passage uses the term in a laboratory mechanism, not as a culinary metaphor. A hard negative should share a few words but change the underlying topic.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain expanded paragraph with confusable guidance
V3_0058,chemistry,chemistry,dev,"In a paragraph about chemistry, the key detail is this: A buffer resists changes in pH when small amounts of acid are added. The passage uses the term in a laboratory mechanism, not as a culinary metaphor. A hard negative should share a few words but change the underlying topic.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain expanded paragraph with confusable guidance
V3_0059,chemistry,chemistry,test,"In a paragraph about chemistry, the key detail is this: The reaction was exothermic, releasing heat as the bonds reorganized. The passage uses the term in a laboratory mechanism, not as a culinary metaphor. A hard negative should share a few words but change the underlying topic.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain expanded paragraph with confusable guidance
V3_0060,chemistry,chemistry,test,"In a paragraph about chemistry, the key detail is this: Sodium chloride dissolves into its constituent ions in aqueous solution. The passage uses the term in a laboratory mechanism, not as a culinary metaphor. A hard negative should share a few words but change the underlying topic.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain expanded paragraph with confusable guidance
V3_0061,code,code,train,"def fibonacci(n):
    return n if n < 2 else fibonacci(n-1) + fibonacci(n-2)",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0062,code,code,train,"for i in range(len(items)):
    total += items[i].price * items[i].qty",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0063,code,code,train,"class Stack:
    def push(self, x):
        self._data.append(x)",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0064,code,code,train,result = [x * 2 for x in numbers if x % 2 == 0],code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0065,code,code,train,"try:
    conn = connect(host)
except TimeoutError:
    retry(conn)",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0066,code,code,train,"const sum = arr.reduce((acc, x) => acc + x, 0);",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0067,code,code,dev,"SELECT name, COUNT(*) FROM orders GROUP BY name HAVING COUNT(*) > 3;",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0068,code,code,dev,"while not queue.empty():
    node = queue.get()
    visit(node)",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0069,code,code,test,git rebase -i HEAD~3 && git push --force-with-lease origin feature,code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0070,code,code,test,"async def fetch(url):
    async with session.get(url) as r:
        return await r.json()",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0071,code,code,train,"if (ptr == NULL) { return -1; }
*ptr = value;",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0072,code,code,train,"import numpy as np
A = np.zeros((3, 3))
A[np.diag_indices(3)] = 1",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0073,code,code,train,"def binary_search(a, t):
    lo, hi = 0, len(a) - 1
    while lo <= hi:
        mid = (lo + hi) // 2",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0074,code,code,train,"@app.route('/users/<int:uid>')
def get_user(uid):
    return jsonify(db.find(uid))",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0075,code,code,train,"func main() {
    ch := make(chan int)
    go worker(ch)
}",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0076,code,code,train,"type Point = { x: number; y: number };
const origin: Point = { x: 0, y: 0 };",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0077,code,code,dev,"def quicksort(arr):
    if len(arr) <= 1: return arr
    p = arr[0]
    return quicksort([x for x in arr[1:] if x < p]) + [p] + quicksort([x for x in arr[1:] if x >= p])",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0078,code,code,dev,"interface User { id: number; name: string; }
const u: User = { id: 1, name: 'A' };",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0079,code,code,test,pipeline | head -n 20 | grep ERROR | wc -l,code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0080,code,code,test,"with open(path) as f:
    for line in f:
        process(line.strip())",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0081,code,code,train,"let mut v = vec![];
for x in 0..n { v.push(x*x); }",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0082,code,code,train,"cursor.execute('SELECT * FROM t WHERE id = %s', (key,))",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0083,code,code,train,const obs = new MutationObserver(m => m.forEach(process));,code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain short item
V3_0084,code,code,train,"def fibonacci(n):
    return n if n < 2 else fibonacci(n-1) + fibonacci(n-2) The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0085,code,code,train,"for i in range(len(items)):
    total += items[i].price * items[i].qty The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0086,code,code,train,"class Stack:
    def push(self, x):
        self._data.append(x) The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0087,code,code,dev,result = [x * 2 for x in numbers if x % 2 == 0] The passage includes executable or shell-like syntax where punctuation changes behavior.,code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0088,code,code,dev,"try:
    conn = connect(host)
except TimeoutError:
    retry(conn) The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0089,code,code,test,"const sum = arr.reduce((acc, x) => acc + x, 0); The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0090,code,code,test,"SELECT name, COUNT(*) FROM orders GROUP BY name HAVING COUNT(*) > 3; The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0091,code,code,train,"while not queue.empty():
    node = queue.get()
    visit(node) The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0092,code,code,train,git rebase -i HEAD~3 && git push --force-with-lease origin feature The passage includes executable or shell-like syntax where punctuation changes behavior.,code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0093,code,code,train,"async def fetch(url):
    async with session.get(url) as r:
        return await r.json() The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0094,code,code,train,"if (ptr == NULL) { return -1; }
*ptr = value; The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0095,code,code,train,"import numpy as np
A = np.zeros((3, 3))
A[np.diag_indices(3)] = 1 The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0096,code,code,train,"def binary_search(a, t):
    lo, hi = 0, len(a) - 1
    while lo <= hi:
        mid = (lo + hi) // 2 The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0097,code,code,dev,"@app.route('/users/<int:uid>')
def get_user(uid):
    return jsonify(db.find(uid)) The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0098,code,code,dev,"func main() {
    ch := make(chan int)
    go worker(ch)
} The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0099,code,code,test,"type Point = { x: number; y: number };
const origin: Point = { x: 0, y: 0 }; The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0100,code,code,test,"def quicksort(arr):
    if len(arr) <= 1: return arr
    p = arr[0]
    return quicksort([x for x in arr[1:] if x < p]) + [p] + quicksort([x for x in arr[1:] if x >= p]) The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0101,code,code,train,"interface User { id: number; name: string; }
const u: User = { id: 1, name: 'A' }; The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0102,code,code,train,pipeline | head -n 20 | grep ERROR | wc -l The passage includes executable or shell-like syntax where punctuation changes behavior.,code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0103,code,code,train,"with open(path) as f:
    for line in f:
        process(line.strip()) The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0104,code,code,train,"let mut v = vec![];
for x in 0..n { v.push(x*x); } The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0105,code,code,train,"cursor.execute('SELECT * FROM t WHERE id = %s', (key,)) The passage includes executable or shell-like syntax where punctuation changes behavior.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0106,code,code,train,const obs = new MutationObserver(m => m.forEach(process)); The passage includes executable or shell-like syntax where punctuation changes behavior.,code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain paragraph variant
V3_0107,code,code,dev,"In a paragraph about code, the key detail is this: def fibonacci(n):
    return n if n < 2 else fibonacci(n-1) + fibonacci(n-2) The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0108,code,code,dev,"In a paragraph about code, the key detail is this: for i in range(len(items)):
    total += items[i].price * items[i].qty The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0109,code,code,test,"In a paragraph about code, the key detail is this: class Stack:
    def push(self, x):
        self._data.append(x) The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0110,code,code,test,"In a paragraph about code, the key detail is this: result = [x * 2 for x in numbers if x % 2 == 0] The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0111,code,code,train,"In a paragraph about code, the key detail is this: try:
    conn = connect(host)
except TimeoutError:
    retry(conn) The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0112,code,code,train,"In a paragraph about code, the key detail is this: const sum = arr.reduce((acc, x) => acc + x, 0); The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0113,code,code,train,"In a paragraph about code, the key detail is this: SELECT name, COUNT(*) FROM orders GROUP BY name HAVING COUNT(*) > 3; The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0114,code,code,train,"In a paragraph about code, the key detail is this: while not queue.empty():
    node = queue.get()
    visit(node) The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0115,code,code,train,"In a paragraph about code, the key detail is this: git rebase -i HEAD~3 && git push --force-with-lease origin feature The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0116,code,code,train,"In a paragraph about code, the key detail is this: async def fetch(url):
    async with session.get(url) as r:
        return await r.json() The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0117,code,code,dev,"In a paragraph about code, the key detail is this: if (ptr == NULL) { return -1; }
*ptr = value; The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0118,code,code,dev,"In a paragraph about code, the key detail is this: import numpy as np
A = np.zeros((3, 3))
A[np.diag_indices(3)] = 1 The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0119,code,code,test,"In a paragraph about code, the key detail is this: def binary_search(a, t):
    lo, hi = 0, len(a) - 1
    while lo <= hi:
        mid = (lo + hi) // 2 The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0120,code,code,test,"In a paragraph about code, the key detail is this: @app.route('/users/<int:uid>')
def get_user(uid):
    return jsonify(db.find(uid)) The passage includes executable or shell-like syntax where punctuation changes behavior. A hard negative should share a few words but change the underlying topic.",code_vs_plain_technical_text,def;return;class;import;loop;indent,semantic-domain expanded paragraph with confusable guidance
V3_0121,cooking,cooking,train,Whisk the acid from a squeeze of lemon into the warm butter sauce.,chemistry_vs_cooking_shared_terms,acid;base;salt;reduce;sauce;pan;recipe,semantic-domain short item
V3_0122,cooking,cooking,train,Reduce the stock over high heat until it coats the back of a spoon.,chemistry_vs_cooking_shared_terms,acid;base;salt;reduce;sauce;pan;recipe,semantic-domain short item
V3_0123,cooking,cooking,train,Season the base of the soup with salt before adding the cream.,chemistry_vs_cooking_shared_terms,acid;base;salt;reduce;sauce;pan;recipe,semantic-domain short item
V3_0124,cooking,cooking,train,Let the dough rest so the gluten relaxes and the crust stays tender.,chemistry_vs_cooking_shared_terms,acid;base;salt;reduce;sauce;pan;recipe,semantic-domain short item
