target_id,description,frozen_value,reconstructed_value,method,status,source_paths,notes
span_r_qwen36-27b,qwen36-27b per-item r label vs span-safe,0.75,0.7452,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
span_answer_norm_loss,answer-direction norm loss range (draft 18-26%),0.18-0.26,0.1788-0.2648,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,"per-model losses [0.1788, 0.2086, 0.2648]"
span_r_itemcheck_olmo31-think,olmo31-think per-item r (item-level cross-check),0.2,0.1951,recomputed_from_items,numerically_identical_render_diff,span_audit_items_olmo31-think.parquet,
span_r_itemcheck_olmo31-instruct,olmo31-instruct per-item r (item-level cross-check),0.29,0.2915,recomputed_from_items,numerically_identical_render_diff,span_audit_items_olmo31-instruct.parquet,
span_r_itemcheck_qwen36-27b,qwen36-27b per-item r (item-level cross-check),0.75,0.7452,recomputed_from_items,numerically_identical_render_diff,span_audit_items_qwen36-27b.parquet,
mining_n_items,overlap-mining item count,975,975,recomputed_from_items,byte_identical,overlap_mining_items.parquet,
mining_rho_olmo31-think,"olmo31-think Spearman rho(clean rank, J damage), all items",-0.3,-0.2969,recomputed_from_items,numerically_identical_render_diff,overlap_mining_items.parquet,n=325
mining_pressure_olmo31-think,olmo31-think blocked rows/position,1.33,1.3297,recomputed_from_items,numerically_within_frozen_tolerance,overlap_mining_items.parquet,"closest recipe all_median; all: {'all_mean': np.float64(1.361), 'all_median': 1.33, 'conf_mean': np.float64(1.354), 'blocked_rate_mean': np.float64(1.361)}"
mining_rho_olmo31-instruct,"olmo31-instruct Spearman rho(clean rank, J damage), all items",-0.31,-0.3079,recomputed_from_items,numerically_identical_render_diff,overlap_mining_items.parquet,n=325
mining_pressure_olmo31-instruct,olmo31-instruct blocked rows/position,1.22,1.2212,recomputed_from_items,numerically_within_frozen_tolerance,overlap_mining_items.parquet,"closest recipe all_median; all: {'all_mean': np.float64(1.233), 'all_median': 1.221, 'conf_mean': np.float64(1.236), 'blocked_rate_mean': np.float64(1.233)}"
mining_rho_qwen36-27b,"qwen36-27b Spearman rho(clean rank, J damage), all items",0.24,0.2359,recomputed_from_items,numerically_identical_render_diff,overlap_mining_items.parquet,n=325
mining_pressure_qwen36-27b,qwen36-27b blocked rows/position,0.1,0.1044,recomputed_from_items,numerically_within_frozen_tolerance,overlap_mining_items.parquet,"closest recipe all_median; all: {'all_mean': np.float64(0.115), 'all_median': 0.104, 'conf_mean': np.float64(0.112), 'blocked_rate_mean': np.float64(0.115)}"
prose_exact_ctrl_range,prose exact-control nll/token (draft +0.002..+0.021),0.002-0.021,0.0018-0.0206,verified_registered_summary,numerically_identical_render_diff,prose_grid_figure_stats.json,"{'olmo31-think': 0.0033, 'olmo31-instruct': 0.0018, 'qwen36-27b': 0.0206}"
prose_label_range,prose label-arm nll/token (draft +0.175..+0.945),0.175-0.945,0.1754-0.9452,verified_registered_summary,numerically_identical_render_diff,prose_grid_figure_stats.json,"{'olmo31-think': 0.1754, 'olmo31-instruct': 0.5301, 'qwen36-27b': 0.9452}"
prose_spansafe_reduction,span-safe share of label prose cost removed (draft 72-78%),0.72-0.78,0.493-0.778,verified_registered_summary,failed,prose_grid_figure_stats.json,"DRAFT ERROR: range holds only for Instruct (0.716) and Qwen (0.778); Think removes 0.493. Draft sentence must be rescoped. {'olmo31-think': 0.493, 'olmo31-instruct': 0.716, 'qwen36-27b': 0.778}"
prose_selectivity,prose damage exceeds task damage in std units (no 'selective' wording),prose>task all models,"{'olmo31-think': (-2.113, -0.547), 'olmo31-instruct': (-2.135, -0.638), 'qwen36-27b': (-1.509, -0.256)}",verified_registered_summary,numerically_identical_render_diff,prose_grid_figure_stats.json,prose_std_effect more negative than task_std_effect on every model
locked_aux_contrasts,"thick-bank aux contrasts availability (draft: T-vs-I +0.01 [-0.45,+0.39]; bank-S +0.02 [-0.33,+0.42])",(see draft),"76 numeric leaves; T-I keys: ['/estimation_targets/think_vs_instruct_thick/estimate', '/estimation_targets/think_vs_instruct_thick/n_families']",verified_registered_summary,numerically_within_frozen_tolerance,phase3_locked_analysis.json,exact leaf paths recorded for the claim audit; values verified in recon_phase3.csv by the phase-3 reconstruction
