model,dimension,status,status_label,annotation,evidence_ids
OLMo-3.1 Think,Bridge mechanism,D,Development tier,rescue contrast mildly negative (-0.202); swap inert (-0.089),p3-bridge-mediation-olmo31-think-v1
OLMo-3.1 Think,Externalization / load,G,Gated / blocked,pair design unpowered: 0.7788 at 16 shared capable families (first pass 18),ol2-bank-w-olmo-pair-power-v1
OLMo-3.1 Think,Fit invariance,U,Untested,no fit ladder on OLMo,
OLMo-3.1 Think,Finite-dose transport gate,M,Methods tier,H6 fail in-band; late-anchor-only L56@0.10 12/12,ol2-transport-validation-olmo31-think-v1
OLMo-3.1 Instruct,Lens / readout validity,D,Development tier,G4 flip 0.76 vs 0.24 rand; independent-lens r=0.99 tail-J 0.883,r5-swap-positive-control-olmo31-instruct-v2;n6-repl-lens-independence-v2
OLMo-3.1 Instruct,Paper-defined capacity,D,Development tier,occ_med 2; centered excess ~0.004-0.012 - pair-flat,r2-occupancy-olmo31instruct-v2
OLMo-3.1 Instruct,Span-safe causal specificity,D,Development tier,span-safe tail 0.32 vs control 0.0; Bank-S use absent/near-zero at sibling (dev assay),p3-span-audit-cross-model-v1;p4-lineage-trajectory-analysis-olmo-dev-v1
OLMo-3.1 Instruct,Held-out replication,S,Split result (see note),HP3 estimate replicates; HP1 interaction does not,n6-replication-analysis-v2
OLMo-3.1 Instruct,Bridge mechanism,U,Untested,not tested (no mediation cohort),
OLMo-3.1 Instruct,Externalization / load,G,Gated / blocked,pair design unpowered (see Think row),ol2-bank-w-olmo-pair-power-v1
OLMo-3.1 Instruct,Fit invariance,U,Untested,no fit ladder on OLMo,
OLMo-3.1 Instruct,Finite-dose transport gate,U,Untested,"not on the mandatory H6 grid (sibling, not successor)",
Gemma-4 31B,Lens / readout validity,X,Not applicable (premise/branch),excluded by J-lens validity premise failure (PI amendment) - not a below-boundary data point,gm-state-of-record-v1
Gemma-4 31B,Paper-defined capacity,X,Not applicable (premise/branch),HP4 cell not-applicable after premise exclusion,gm-state-of-record-v1
Gemma-4 31B,Span-safe causal specificity,X,Not applicable (premise/branch),no causal assay licensed,
Gemma-4 31B,Held-out replication,X,Not applicable (premise/branch),n/a,
Gemma-4 31B,Bridge mechanism,X,Not applicable (premise/branch),n/a,
Gemma-4 31B,Externalization / load,X,Not applicable (premise/branch),n/a,
Gemma-4 31B,Fit invariance,U,Untested,no fit ladder,
Gemma-4 31B,Finite-dose transport gate,M,Methods tier,closed five-layer finite-scale mismatch under calibrated envelope (L22-L52); cause not localized,gm-jvp-gemma-stage1-v1;gm2-stage1-relicense-v1
