model,checkpoint,layer,epsilon,gate,n_pass,n_rows,metric,value,ci_low,ci_high,route,source_evidence_id
OLMo-3 Base,base,L32,0.05,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L32,0.1,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L40,0.001,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L40,0.0025,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L40,0.005,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L40,0.01,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L40,0.02,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L40,0.05,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L40,0.1,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L56,0.001,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L56,0.0025,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L56,0.005,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L56,0.01,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L56,0.02,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L56,0.05,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3 Base,base,L56,0.1,H6 cell floor 0.90,9,12,cell_pass_fraction,0.75,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L24,0.001,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L24,0.0025,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L24,0.005,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L24,0.01,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L24,0.02,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L24,0.05,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L24,0.1,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L32,0.001,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L32,0.0025,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L32,0.005,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L32,0.01,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L32,0.02,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L32,0.05,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L32,0.1,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L40,0.001,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L40,0.0025,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L40,0.005,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L40,0.01,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L40,0.02,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L40,0.05,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L40,0.1,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L56,0.001,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L56,0.0025,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L56,0.005,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L56,0.01,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L56,0.02,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L56,0.05,H6 cell floor 0.90,0,12,cell_pass_fraction,0.0,,,fail,ol2-transport-validation-joint-v1
OLMo-3.1 Think,olmo31_think,L56,0.1,H6 cell floor 0.90,12,12,cell_pass_fraction,1.0,,,pass,ol2-transport-validation-joint-v1
